id,data_lancamento,conta,tipo,valor,regiao,documento,centro_custo
33,2022-12-07,Despesas com Pessoal,Débito,23603.22,Nordeste,DOC-000033,Financeiro
34,2024-08-16,Juros Passivos,Crédito,62947.5,Centro-Oeste,DOC-000034,Contabilidade
35,2025-11-25,Marketing,Crédito,26119.77,Sudeste,DOC-000035,RH
36,2025-02-12,Depreciação,Crédito,24855.66,Nordeste,DOC-000036,Marketing
37,2024-11-18,Impostos,Débito,14118.2,Norte,DOC-000037,Vendas
38,2025-10-01,Impostos,Débito,29643.72,Sudeste,DOC-000038,TI
39,2025-05-19,Despesas com Pessoal,Crédito,19718.44,Norte,DOC-000039,Marketing
40,2024-08-16,Despesas Administrativas,Crédito,43597.16,Nordeste,DOC-000040,Financeiro
41,2025-11-24,Despesas Administrativas,Crédito,46419.76,Centro-Oeste,DOC-000041,Financeiro
42,2022-02-06,Despesas Administrativas,Débito,6023.42,Centro-Oeste,DOC-000042,TI
43,2024-06-05,Custo de Mercadorias,Crédito,79262.87,Sudeste,DOC-000043,Contabilidade
44,2022-01-27,Receita de Serviços,Crédito,37954.58,Sul,DOC-000044,RH
45,2024-02-20,Depreciação,Crédito,57663.18,Norte,DOC-000045,Vendas
46,2022-02-03,Outras Receitas,Débito,26762.28,Centro-Oeste,DOC-000046,Contabilidade
47,2022-09-14,Custo de Mercadorias,Débito,63468.36,Nordeste,DOC-000047,Financeiro
48,2024-11-15,Marketing,Débito,9381.82,Sul,DOC-000048,Contabilidade
49,2022-10-07,Receita de Serviços,Débito,8682.0,Norte,DOC-000049,Marketing
50,2025-12-12,Receita de Vendas,Débito,95186.2,Nordeste,DOC-000050,TI
51,2025-10-06,Despesas com Pessoal,Crédito,17543.02,Nordeste,DOC-000051,Contabilidade
52,2024-08-07,Despesas Administrativas,Débito,32917.62,Sudeste,DOC-000052,Marketing
53,2023-06-19,Receita de Serviços,Débito,80378.58,Sudeste,DOC-000053,Contabilidade
54,2023-06-23,Impostos,Débito,82130.24,Centro-Oeste,DOC-000054,Logística
55,2024-12-07,Outras Receitas,Crédito,91610.76,Centro-Oeste,DOC-000055,Financeiro
56,2024-12-14,Receita de Serviços,Débito,83991.56,Norte,DOC-000056,RH
57,2022-12-24,Custo de Mercadorias,Crédito,42824.84,Nordeste,DOC-000057,Vendas
58,2023-04-06,Despesas com Pessoal,Crédito,78373.27,Nordeste,DOC-000058,Financeiro
59,2023-08-04,Marketing,Débito,9348.99,Sul,DOC-000059,Vendas
60,2025-09-19,Outras Receitas,Crédito,61640.47,Nordeste,DOC-000060,TI
61,2024-12-19,Despesas Administrativas,Crédito,23540.77,Sul,DOC-000061,TI
62,2023-10-05,Juros Passivos,Débito,44137.64,Sul,DOC-000062,Vendas
63,2024-02-20,Depreciação,Débito,80627.7,Norte,DOC-000063,Financeiro
64,2022-11-17,Despesas com Pessoal,Crédito,18977.28,Nordeste,DOC-000064,Marketing
65,2023-11-17,Juros Passivos,Crédito,10755.19,Norte,DOC-000065,Financeiro
66,2024-06-02,Outras Receitas,Débito,71323.28,Nordeste,DOC-000066,Vendas
67,2024-09-28,Custo de Mercadorias,Crédito,5106.89,Norte,DOC-000067,Marketing
68,2024-08-22,Juros Passivos,Débito,848.63,Centro-Oeste,DOC-000068,Financeiro
69,2023-06-04,Receita de Vendas,Crédito,76510.64,Sul,DOC-000069,Marketing
70,2024-02-02,Receita de Serviços,Crédito,90518.07,Sudeste,DOC-000070,Marketing
71,2022-01-08,Despesas com Pessoal,Crédito,21649.16,Nordeste,DOC-000071,Contabilidade
72,2025-01-31,Marketing,Crédito,61391.58,Nordeste,DOC-000072,Logística
73,2024-04-26,Marketing,Débito,89433.71,Sul,DOC-000073,Vendas
74,2022-06-06,Impostos,Débito,81549.56,Sudeste,DOC-000074,RH
75,2025-08-05,Juros Passivos,Crédito,34651.82,Sudeste,DOC-000075,TI
76,2025-04-26,Despesas Administrativas,Débito,47857.43,Centro-Oeste,DOC-000076,RH
77,2025-02-05,Receita de Serviços,Débito,90353.92,Nordeste,DOC-000077,TI
78,2025-10-11,Impostos,Débito,56534.11,Sudeste,DOC-000078,Vendas
79,2022-04-19,Custo de Mercadorias,Débito,42624.82,Centro-Oeste,DOC-000079,RH
80,2024-12-29,Despesas Administrativas,Débito,26839.28,Sul,DOC-000080,Marketing
81,2025-03-02,Despesas Administrativas,Crédito,49866.66,Centro-Oeste,DOC-000081,RH
82,2025-05-12,Depreciação,Débito,66606.92,Nordeste,DOC-000082,Contabilidade
83,2025-03-31,Juros Passivos,Crédito,80514.05,Sudeste,DOC-000083,Financeiro
84,2023-01-12,Receita de Vendas,Crédito,57652.37,Nordeste,DOC-000084,Marketing
85,2022-12-16,Juros Passivos,Débito,44193.81,Norte,DOC-000085,Contabilidade
86,2022-08-22,Marketing,Débito,10278.35,Sudeste,DOC-000086,TI
87,2022-02-23,Receita de Serviços,Débito,88712.55,Nordeste,DOC-000087,RH
88,2025-12-10,Depreciação,Débito,33071.64,Sul,DOC-000088,Financeiro
89,2024-06-22,Receita de Serviços,Crédito,65297.28,Centro-Oeste,DOC-000089,RH
90,2024-10-30,Depreciação,Crédito,11247.06,Sudeste,DOC-000090,Logística
91,2023-03-23,Impostos,Crédito,65787.53,Nordeste,DOC-000091,Vendas
92,2024-06-29,Juros Passivos,Débito,7882.75,Nordeste,DOC-000092,Financeiro
93,2023-02-04,Outras Receitas,Débito,22036.98,Centro-Oeste,DOC-000093,Contabilidade
94,2024-08-15,Despesas Administrativas,Crédito,88472.56,Nordeste,DOC-000094,Logística
95,2023-04-16,Impostos,Crédito,34279.99,Nordeste,DOC-000095,Logística
96,2022-01-31,Depreciação,Débito,83628.62,Centro-Oeste,DOC-000096,Marketing
97,2023-09-29,Impostos,Débito,90736.54,Sudeste,DOC-000097,RH
98,2025-09-09,Marketing,Crédito,14911.72,Nordeste,DOC-000098,Marketing
99,2024-04-12,Custo de Mercadorias,Débito,72998.96,Centro-Oeste,DOC-000099,RH
100,2025-06-09,Receita de Vendas,Crédito,22060.39,Nordeste,DOC-000100,Marketing
101,2023-08-28,Receita de Vendas,Débito,49264.0,Sul,DOC-000101,Financeiro
102,2024-08-31,Despesas com Pessoal,Débito,29374.58,Centro-Oeste,DOC-000102,TI
103,2023-03-21,Juros Passivos,Crédito,44975.4,Nordeste,DOC-000103,Vendas
104,2022-07-15,Despesas Administrativas,Crédito,75963.76,Centro-Oeste,DOC-000104,RH
105,2023-06-04,Depreciação,Crédito,87476.03,Sudeste,DOC-000105,Financeiro
106,2024-10-11,Outras Receitas,Débito,93128.4,Sul,DOC-000106,Financeiro
107,2023-10-29,Receita de Vendas,Crédito,38061.27,Norte,DOC-000107,Financeiro
108,2023-04-06,Juros Passivos,Crédito,7644.42,Nordeste,DOC-000108,Financeiro
109,2025-06-08,Receita de Vendas,Débito,40508.78,Nordeste,DOC-000109,Financeiro
110,2024-02-04,Outras Receitas,Crédito,15416.98,Sudeste,DOC-000110,Logística
111,2023-03-12,Despesas com Pessoal,Débito,45609.87,Sudeste,DOC-000111,Vendas
112,2025-10-08,Custo de Mercadorias,Débito,56783.97,Norte,DOC-000112,Financeiro
113,2025-07-02,Outras Receitas,Débito,96064.43,Norte,DOC-000113,RH
114,2022-01-04,Receita de Vendas,Crédito,13060.79,Nordeste,DOC-000114,Contabilidade
115,2023-09-23,Outras Receitas,Débito,93829.54,Sudeste,DOC-000115,TI
116,2022-01-06,Outras Receitas,Crédito,12823.29,Sudeste,DOC-000116,Vendas
117,2022-06-12,Receita de Serviços,Crédito,93547.09,Sudeste,DOC-000117,Vendas
118,2025-07-07,Receita de Serviços,Crédito,50047.11,Norte,DOC-000118,Logística
119,2022-05-14,Impostos,Débito,56613.93,Norte,DOC-000119,Vendas
120,2024-04-20,Receita de Serviços,Crédito,61311.79,Nordeste,DOC-000120,Logística
121,2022-08-29,Juros Passivos,Crédito,83466.03,Norte,DOC-000121,Marketing
122,2022-04-04,Marketing,Débito,83052.0,Nordeste,DOC-000122,RH
123,2024-07-31,Juros Passivos,Crédito,31681.11,Sul,DOC-000123,Contabilidade
124,2024-03-16,Receita de Serviços,Crédito,91143.51,Sul,DOC-000124,RH
125,2024-10-04,Despesas Administrativas,Crédito,79566.9,Norte,DOC-000125,Vendas
126,2025-04-02,Custo de Mercadorias,Débito,99049.76,Norte,DOC-000126,Contabilidade
127,2024-11-23,Outras Receitas,Débito,71995.89,Nordeste,DOC-000127,Logística
128,2023-02-18,Custo de Mercadorias,Débito,81529.45,Nordeste,DOC-000128,Contabilidade
129,2024-11-25,Juros Passivos,Crédito,64982.32,Sul,DOC-000129,Logística
130,2024-02-29,Marketing,Crédito,22093.18,Sul,DOC-000130,Vendas
131,2022-11-12,Marketing,Débito,85622.84,Nordeste,DOC-000131,Financeiro
132,2023-07-11,Impostos,Débito,47496.58,Norte,DOC-000132,Logística
133,2025-09-15,Juros Passivos,Crédito,76355.23,Nordeste,DOC-000133,RH
134,2024-10-08,Receita de Serviços,Crédito,91392.1,Sudeste,DOC-000134,Marketing
135,2024-08-23,Receita de Serviços,Crédito,68991.15,Norte,DOC-000135,Marketing
136,2024-07-16,Receita de Serviços,Crédito,38760.31,Nordeste,DOC-000136,Marketing
137,2022-06-13,Receita de Serviços,Débito,26432.67,Norte,DOC-000137,Logística
138,2025-12-07,Despesas com Pessoal,Débito,31669.36,Sudeste,DOC-000138,Financeiro
139,2023-06-18,Juros Passivos,Crédito,35332.39,Norte,DOC-000139,Contabilidade
140,2024-04-10,Custo de Mercadorias,Crédito,65679.45,Sul,DOC-000140,Vendas
141,2025-12-15,Juros Passivos,Crédito,7446.53,Sudeste,DOC-000141,Logística
142,2023-01-15,Depreciação,Crédito,3211.31,Centro-Oeste,DOC-000142,Vendas
143,2025-03-04,Receita de Vendas,Débito,21092.22,Centro-Oeste,DOC-000143,Financeiro
144,2024-09-15,Juros Passivos,Débito,46172.03,Centro-Oeste,DOC-000144,Logística
145,2022-06-07,Depreciação,Débito,35522.49,Norte,DOC-000145,Contabilidade
146,2023-07-28,Juros Passivos,Crédito,45655.3,Sudeste,DOC-000146,Marketing
147,2024-07-07,Outras Receitas,Débito,45880.58,Norte,DOC-000147,Financeiro
148,2024-02-02,Juros Passivos,Crédito,92020.95,Sul,DOC-000148,RH
149,2025-10-24,Receita de Vendas,Crédito,8481.58,Sudeste,DOC-000149,Contabilidade
150,2023-01-23,Impostos,Débito,95783.81,Nordeste,DOC-000150,Marketing
151,2025-11-08,Depreciação,Débito,857.93,Sul,DOC-000151,TI
152,2024-01-18,Marketing,Crédito,65522.62,Nordeste,DOC-000152,RH
153,2022-09-30,Marketing,Crédito,18549.17,Sudeste,DOC-000153,Vendas
154,2022-01-08,Marketing,Débito,22116.16,Nordeste,DOC-000154,Contabilidade
155,2025-01-24,Depreciação,Débito,92410.03,Norte,DOC-000155,Vendas
156,2024-09-02,Outras Receitas,Crédito,76376.76,Norte,DOC-000156,Logística
157,2022-05-18,Marketing,Débito,33041.46,Norte,DOC-000157,Financeiro
158,2022-01-17,Depreciação,Crédito,36301.86,Centro-Oeste,DOC-000158,Marketing
159,2023-04-02,Receita de Serviços,Débito,14362.51,Norte,DOC-000159,Marketing
160,2025-10-27,Receita de Vendas,Crédito,52692.69,Norte,DOC-000160,Marketing
161,2023-02-13,Marketing,Crédito,9322.81,Sudeste,DOC-000161,Logística
162,2023-12-26,Outras Receitas,Crédito,26978.84,Sul,DOC-000162,Marketing
163,2025-05-11,Receita de Serviços,Crédito,13813.4,Centro-Oeste,DOC-000163,Logística
164,2022-01-31,Outras Receitas,Débito,34064.68,Sul,DOC-000164,Financeiro
165,2025-01-04,Marketing,Débito,76059.17,Norte,DOC-000165,Financeiro
166,2023-02-07,Marketing,Crédito,34036.55,Centro-Oeste,DOC-000166,Contabilidade
167,2022-01-19,Custo de Mercadorias,Débito,10506.74,Sudeste,DOC-000167,Vendas
168,2024-07-18,Marketing,Crédito,99019.42,Nordeste,DOC-000168,Vendas
169,2023-05-22,Despesas com Pessoal,Débito,35040.79,Sul,DOC-000169,Logística
170,2025-02-16,Receita de Serviços,Crédito,74165.97,Centro-Oeste,DOC-000170,Marketing
171,2023-06-07,Depreciação,Débito,84108.94,Nordeste,DOC-000171,Vendas
172,2023-05-04,Receita de Serviços,Débito,9843.76,Norte,DOC-000172,TI
173,2023-08-29,Impostos,Débito,69105.39,Nordeste,DOC-000173,TI
174,2024-12-20,Marketing,Crédito,49805.25,Norte,DOC-000174,TI
175,2025-11-24,Despesas com Pessoal,Débito,85247.28,Centro-Oeste,DOC-000175,Logística
176,2022-07-24,Impostos,Crédito,53871.93,Centro-Oeste,DOC-000176,RH
177,2023-04-09,Receita de Vendas,Débito,19555.48,Sul,DOC-000177,Logística
178,2023-10-15,Custo de Mercadorias,Crédito,81817.56,Norte,DOC-000178,RH
179,2024-04-26,Depreciação,Débito,20765.16,Centro-Oeste,DOC-000179,Logística
180,2023-03-13,Despesas Administrativas,Crédito,45859.95,Centro-Oeste,DOC-000180,Marketing
181,2022-10-05,Receita de Serviços,Crédito,69765.03,Sul,DOC-000181,Financeiro
182,2024-08-09,Impostos,Débito,32928.17,Centro-Oeste,DOC-000182,Marketing
183,2025-04-09,Despesas Administrativas,Débito,95078.87,Centro-Oeste,DOC-000183,Vendas
184,2022-01-30,Receita de Vendas,Crédito,14679.75,Norte,DOC-000184,Contabilidade
185,2023-03-30,Impostos,Débito,14469.68,Nordeste,DOC-000185,Contabilidade
186,2023-09-10,Depreciação,Crédito,74789.54,Sul,DOC-000186,Marketing
187,2025-10-24,Receita de Vendas,Crédito,43721.76,Sudeste,DOC-000187,RH
188,2025-11-30,Custo de Mercadorias,Débito,87890.46,Nordeste,DOC-000188,Marketing
189,2022-03-02,Outras Receitas,Débito,18382.64,Norte,DOC-000189,Contabilidade
190,2023-06-13,Marketing,Crédito,72622.86,Nordeste,DOC-000190,Marketing
191,2022-08-04,Custo de Mercadorias,Crédito,26260.61,Norte,DOC-000191,Logística
192,2024-06-09,Depreciação,Crédito,85555.58,Norte,DOC-000192,Contabilidade
193,2022-09-06,Depreciação,Débito,84180.27,Centro-Oeste,DOC-000193,TI
194,2025-09-18,Receita de Serviços,Débito,71398.76,Centro-Oeste,DOC-000194,TI
195,2023-06-10,Juros Passivos,Crédito,91366.74,Norte,DOC-000195,RH
196,2025-08-18,Receita de Serviços,Crédito,55893.57,Centro-Oeste,DOC-000196,Vendas
197,2022-06-14,Juros Passivos,Crédito,80974.43,Sudeste,DOC-000197,Vendas
198,2024-03-04,Outras Receitas,Crédito,74719.96,Nordeste,DOC-000198,Vendas
199,2022-10-12,Outras Receitas,Débito,14499.22,Norte,DOC-000199,TI
200,2023-01-29,Outras Receitas,Crédito,18759.12,Norte,DOC-000200,Marketing
201,2022-11-08,Outras Receitas,Crédito,98372.64,Centro-Oeste,DOC-000201,Marketing
202,2023-05-19,Outras Receitas,Crédito,96842.4,Norte,DOC-000202,Financeiro
203,2023-05-19,Depreciação,Crédito,10743.63,Norte,DOC-000203,Logística
204,2022-03-23,Impostos,Débito,72115.59,Nordeste,DOC-000204,RH
205,2025-09-12,Outras Receitas,Crédito,59816.15,Nordeste,DOC-000205,Marketing
206,2025-06-04,Receita de Vendas,Débito,48002.16,Norte,DOC-000206,Contabilidade
207,2024-04-13,Custo de Mercadorias,Débito,8741.76,Nordeste,DOC-000207,Contabilidade
208,2022-07-13,Marketing,Débito,50258.0,Norte,DOC-000208,Logística
209,2025-10-07,Receita de Vendas,Débito,12449.82,Sul,DOC-000209,Vendas
210,2025-09-26,Receita de Vendas,Crédito,5832.99,Sudeste,DOC-000210,Vendas
211,2024-04-24,Depreciação,Crédito,14701.51,Nordeste,DOC-000211,TI
212,2023-08-29,Despesas com Pessoal,Débito,40700.6,Norte,DOC-000212,Vendas
213,2024-12-05,Impostos,Crédito,43901.0,Centro-Oeste,DOC-000213,TI
214,2022-07-19,Despesas Administrativas,Crédito,28015.96,Centro-Oeste,DOC-000214,Marketing
215,2025-11-03,Despesas Administrativas,Crédito,33527.21,Norte,DOC-000215,TI
216,2023-03-07,Juros Passivos,Débito,64276.43,Nordeste,DOC-000216,Logística
217,2024-02-01,Despesas Administrativas,Crédito,46864.66,Nordeste,DOC-000217,Marketing
218,2022-10-11,Despesas com Pessoal,Débito,69790.25,Centro-Oeste,DOC-000218,TI
219,2023-01-01,Custo de Mercadorias,Débito,63870.83,Norte,DOC-000219,Vendas
220,2024-04-20,Receita de Vendas,Débito,94933.36,Sul,DOC-000220,Financeiro
221,2022-07-15,Receita de Vendas,Débito,16208.96,Norte,DOC-000221,Contabilidade
222,2025-09-13,Receita de Vendas,Débito,82811.48,Norte,DOC-000222,Contabilidade
223,2023-08-28,Receita de Serviços,Débito,75061.07,Centro-Oeste,DOC-000223,Logística
224,2022-10-05,Receita de Vendas,Crédito,22122.92,Sul,DOC-000224,Financeiro
225,2022-09-01,Outras Receitas,Débito,97314.26,Nordeste,DOC-000225,TI
226,2023-05-06,Despesas Administrativas,Débito,64950.9,Norte,DOC-000226,Marketing
227,2025-03-15,Outras Receitas,Débito,18487.25,Sul,DOC-000227,Financeiro
228,2025-01-13,Despesas com Pessoal,Débito,47071.72,Sudeste,DOC-000228,Vendas
229,2024-02-22,Receita de Vendas,Débito,36671.96,Nordeste,DOC-000229,Vendas
230,2023-04-01,Impostos,Débito,32283.98,Sul,DOC-000230,Financeiro
231,2022-05-22,Despesas com Pessoal,Débito,29102.76,Sudeste,DOC-000231,Contabilidade
232,2025-11-04,Juros Passivos,Crédito,75725.75,Sul,DOC-000232,Logística
233,2025-01-23,Juros Passivos,Crédito,42172.43,Sul,DOC-000233,Marketing
234,2023-07-02,Depreciação,Débito,91199.51,Centro-Oeste,DOC-000234,Contabilidade
235,2025-11-29,Outras Receitas,Crédito,85248.61,Sudeste,DOC-000235,Contabilidade
236,2022-04-16,Outras Receitas,Débito,79025.19,Centro-Oeste,DOC-000236,Logística
237,2024-07-29,Impostos,Débito,55144.15,Norte,DOC-000237,Vendas
238,2024-07-25,Impostos,Débito,29848.47,Norte,DOC-000238,RH
239,2023-01-15,Receita de Serviços,Débito,9114.84,Centro-Oeste,DOC-000239,Vendas
240,2024-07-02,Juros Passivos,Débito,90361.25,Sul,DOC-000240,TI
241,2023-04-02,Custo de Mercadorias,Débito,77048.25,Norte,DOC-000241,TI
242,2023-05-23,Receita de Serviços,Débito,65115.85,Sudeste,DOC-000242,Logística
243,2025-09-19,Custo de Mercadorias,Crédito,54571.11,Nordeste,DOC-000243,RH
244,2022-01-18,Impostos,Crédito,46607.72,Sudeste,DOC-000244,Vendas
245,2023-04-08,Custo de Mercadorias,Débito,63976.88,Nordeste,DOC-000245,Vendas
246,2022-12-01,Depreciação,Crédito,51978.49,Nordeste,DOC-000246,Financeiro
247,2022-11-22,Depreciação,Débito,19560.68,Nordeste,DOC-000247,RH
248,2023-12-02,Custo de Mercadorias,Débito,44861.51,Sudeste,DOC-000248,Financeiro
249,2024-03-12,Receita de Serviços,Crédito,86201.49,Nordeste,DOC-000249,Logística
250,2024-05-03,Juros Passivos,Débito,1061.58,Sul,DOC-000250,TI
251,2023-06-12,Receita de Vendas,Crédito,69015.15,Centro-Oeste,DOC-000251,TI
252,2022-06-15,Depreciação,Crédito,84516.8,Nordeste,DOC-000252,Marketing
253,2024-11-02,Despesas com Pessoal,Débito,66826.05,Sul,DOC-000253,Contabilidade
254,2022-02-10,Juros Passivos,Débito,93888.01,Norte,DOC-000254,Contabilidade
255,2025-05-19,Depreciação,Débito,79690.96,Centro-Oeste,DOC-000255,Financeiro
256,2024-12-01,Impostos,Crédito,62646.88,Sul,DOC-000256,Contabilidade
257,2025-12-15,Marketing,Débito,14574.8,Centro-Oeste,DOC-000257,TI
258,2022-11-07,Despesas Administrativas,Crédito,52888.6,Sul,DOC-000258,RH
259,2025-04-11,Custo de Mercadorias,Débito,99541.96,Sul,DOC-000259,Logística
260,2025-01-15,Custo de Mercadorias,Débito,93319.48,Nordeste,DOC-000260,Financeiro
261,2024-11-14,Marketing,Débito,89564.49,Sudeste,DOC-000261,RH
262,2022-02-04,Despesas com Pessoal,Crédito,7119.74,Centro-Oeste,DOC-000262,RH
263,2023-07-28,Impostos,Débito,25757.81,Norte,DOC-000263,Vendas
264,2022-01-27,Outras Receitas,Crédito,34350.74,Sudeste,DOC-000264,Marketing
265,2024-12-04,Marketing,Crédito,95322.98,Sul,DOC-000265,Vendas
266,2022-12-25,Receita de Vendas,Débito,82511.77,Norte,DOC-000266,Vendas
267,2024-02-23,Despesas com Pessoal,Crédito,85974.47,Nordeste,DOC-000267,RH
268,2023-01-31,Receita de Serviços,Débito,13043.74,Centro-Oeste,DOC-000268,Financeiro
269,2024-05-30,Outras Receitas,Débito,82978.04,Sudeste,DOC-000269,Contabilidade
270,2025-12-07,Outras Receitas,Débito,84164.55,Norte,DOC-000270,RH
271,2023-09-11,Receita de Serviços,Débito,17649.5,Sudeste,DOC-000271,Marketing
272,2024-01-17,Outras Receitas,Débito,39726.04,Centro-Oeste,DOC-000272,Marketing
273,2025-02-17,Receita de Serviços,Débito,2837.83,Nordeste,DOC-000273,RH
274,2025-12-15,Custo de Mercadorias,Débito,19292.25,Sudeste,DOC-000274,TI
275,2022-06-21,Juros Passivos,Débito,83906.53,Sudeste,DOC-000275,Marketing
276,2023-10-08,Depreciação,Crédito,6351.44,Nordeste,DOC-000276,TI
277,2022-05-29,Despesas com Pessoal,Crédito,90388.42,Sudeste,DOC-000277,Financeiro
278,2024-12-08,Receita de Vendas,Débito,45178.28,Nordeste,DOC-000278,Logística
279,2024-01-13,Outras Receitas,Crédito,76140.8,Norte,DOC-000279,RH
280,2023-04-19,Despesas com Pessoal,Crédito,50491.5,Norte,DOC-000280,Contabilidade
281,2022-10-24,Depreciação,Crédito,20578.77,Nordeste,DOC-000281,RH
282,2024-01-22,Receita de Vendas,Crédito,37718.73,Centro-Oeste,DOC-000282,Marketing
283,2022-06-10,Despesas com Pessoal,Débito,50028.79,Nordeste,DOC-000283,Contabilidade
284,2024-11-09,Impostos,Débito,2032.98,Centro-Oeste,DOC-000284,Logística
285,2022-04-15,Receita de Vendas,Crédito,99183.08,Centro-Oeste,DOC-000285,RH
286,2024-09-27,Marketing,Crédito,19827.34,Sudeste,DOC-000286,RH
287,2024-11-07,Despesas com Pessoal,Crédito,8112.99,Norte,DOC-000287,TI
288,2022-05-30,Juros Passivos,Débito,46651.29,Sudeste,DOC-000288,TI
289,2025-04-17,Outras Receitas,Débito,71041.44,Centro-Oeste,DOC-000289,Logística
290,2025-12-27,Receita de Vendas,Crédito,74952.56,Sul,DOC-000290,TI
291,2022-02-23,Marketing,Débito,65108.82,Centro-Oeste,DOC-000291,TI
292,2024-02-09,Receita de Serviços,Débito,80277.8,Centro-Oeste,DOC-000292,Marketing
293,2025-06-10,Juros Passivos,Débito,51523.01,Norte,DOC-000293,RH
294,2023-01-12,Juros Passivos,Débito,21273.94,Sul,DOC-000294,Logística
295,2025-12-01,Despesas com Pessoal,Débito,19538.94,Norte,DOC-000295,Contabilidade
296,2022-07-26,Custo de Mercadorias,Débito,43375.73,Sul,DOC-000296,TI
297,2023-10-25,Impostos,Débito,13294.03,Centro-Oeste,DOC-000297,Vendas
298,2022-08-01,Despesas com Pessoal,Crédito,71043.24,Centro-Oeste,DOC-000298,TI
299,2023-01-11,Receita de Serviços,Débito,16674.13,Sudeste,DOC-000299,Vendas
300,2025-10-22,Despesas Administrativas,Crédito,11515.86,Centro-Oeste,DOC-000300,Marketing
301,2025-06-17,Outras Receitas,Débito,15295.56,Norte,DOC-000301,Financeiro
302,2023-08-16,Marketing,Débito,5025.74,Nordeste,DOC-000302,Marketing
303,2025-03-10,Receita de Serviços,Crédito,11197.85,Centro-Oeste,DOC-000303,Marketing
304,2024-04-21,Outras Receitas,Débito,64407.47,Sul,DOC-000304,Marketing
305,2024-03-07,Receita de Vendas,Crédito,90964.75,Nordeste,DOC-000305,Financeiro
306,2025-12-19,Custo de Mercadorias,Débito,42120.39,Centro-Oeste,DOC-000306,RH
307,2022-01-30,Receita de Vendas,Débito,81451.38,Centro-Oeste,DOC-000307,Vendas
308,2022-08-12,Custo de Mercadorias,Crédito,9475.84,Centro-Oeste,DOC-000308,Logística
309,2023-07-06,Outras Receitas,Crédito,78242.01,Norte,DOC-000309,Marketing
310,2023-07-11,Impostos,Crédito,87727.35,Norte,DOC-000310,Marketing
311,2023-02-05,Receita de Vendas,Débito,71236.07,Nordeste,DOC-000311,Vendas
312,2025-05-18,Custo de Mercadorias,Crédito,48952.98,Centro-Oeste,DOC-000312,RH
313,2022-02-21,Depreciação,Crédito,36539.21,Sul,DOC-000313,Contabilidade
314,2024-10-14,Outras Receitas,Crédito,82649.03,Nordeste,DOC-000314,Vendas
