id,data_envio,pedido,transportadora,origem,destino,peso_kg,custo_frete,dias_entrega,status
170,2025-04-23,PED-000170,TransLog,Nordeste,Sudeste,447.04,69.97,9,Aguardando
171,2023-01-02,PED-000171,TransLog,Norte,Sul,191.75,212.49,2,Aguardando
172,2022-08-28,PED-000172,GlobalShip,Sudeste,Nordeste,318.36,431.3,12,Em Trânsito
173,2025-06-20,PED-000173,GlobalShip,Norte,Sudeste,207.82,109.19,1,Em Trânsito
174,2022-10-29,PED-000174,RapidFrete,Norte,Centro-Oeste,499.6,87.35,4,Aguardando
175,2022-03-22,PED-000175,TransLog,Centro-Oeste,Sul,149.14,207.53,10,Entregue
176,2023-06-02,PED-000176,GlobalShip,Sul,Centro-Oeste,343.66,116.79,1,Aguardando
177,2025-06-23,PED-000177,ExpressCargo,Norte,Norte,331.43,400.48,4,Em Trânsito
178,2025-02-18,PED-000178,RapidFrete,Centro-Oeste,Sul,65.21,148.91,1,Em Trânsito
179,2022-06-03,PED-000179,FastDelivery,Centro-Oeste,Sul,432.94,476.69,15,Entregue
180,2025-01-04,PED-000180,ExpressCargo,Sudeste,Centro-Oeste,61.24,390.2,5,Aguardando
181,2023-09-28,PED-000181,RapidFrete,Sudeste,Nordeste,107.75,329.47,14,Devolvido
182,2022-01-02,PED-000182,RapidFrete,Centro-Oeste,Sudeste,369.22,85.16,11,Em Trânsito
183,2023-08-25,PED-000183,GlobalShip,Sudeste,Sul,448.31,495.61,2,Em Trânsito
184,2022-07-07,PED-000184,RapidFrete,Sudeste,Sul,314.65,371.73,2,Aguardando
185,2022-10-25,PED-000185,GlobalShip,Sudeste,Nordeste,468.02,339.75,10,Entregue
186,2023-11-28,PED-000186,RapidFrete,Centro-Oeste,Nordeste,3.49,54.65,3,Devolvido
187,2024-06-02,PED-000187,GlobalShip,Sul,Nordeste,394.72,150.37,14,Devolvido
188,2023-07-29,PED-000188,ExpressCargo,Sul,Nordeste,275.07,61.59,1,Em Trânsito
189,2024-12-25,PED-000189,RapidFrete,Sul,Sudeste,91.68,22.14,6,Entregue
190,2023-05-27,PED-000190,RapidFrete,Sul,Nordeste,273.47,411.56,12,Em Trânsito
191,2023-07-17,PED-000191,FastDelivery,Nordeste,Centro-Oeste,313.6,468.41,12,Em Trânsito
192,2025-04-19,PED-000192,TransLog,Sul,Sul,143.9,137.3,7,Em Trânsito
193,2024-06-02,PED-000193,RapidFrete,Sudeste,Centro-Oeste,488.12,211.31,14,Devolvido
194,2023-01-05,PED-000194,TransLog,Nordeste,Sudeste,325.29,499.89,11,Entregue
195,2024-10-03,PED-000195,FastDelivery,Sudeste,Centro-Oeste,42.48,427.06,4,Aguardando
196,2024-07-21,PED-000196,RapidFrete,Sul,Sudeste,137.18,480.81,12,Aguardando
197,2025-12-18,PED-000197,RapidFrete,Sul,Sudeste,313.52,119.69,7,Em Trânsito
198,2024-06-17,PED-000198,FastDelivery,Nordeste,Nordeste,474.7,463.77,12,Entregue
199,2024-07-15,PED-000199,GlobalShip,Sul,Sul,109.45,188.84,3,Em Trânsito
200,2022-12-10,PED-000200,ExpressCargo,Nordeste,Centro-Oeste,421.51,78.96,7,Aguardando
201,2024-05-06,PED-000201,TransLog,Norte,Norte,411.35,132.44,3,Em Trânsito
202,2022-02-11,PED-000202,RapidFrete,Norte,Nordeste,163.0,180.25,3,Aguardando
203,2023-12-06,PED-000203,FastDelivery,Sul,Norte,263.32,95.59,8,Em Trânsito
204,2024-07-16,PED-000204,GlobalShip,Sudeste,Norte,331.48,444.07,11,Devolvido
205,2025-09-04,PED-000205,ExpressCargo,Nordeste,Norte,473.33,199.11,12,Entregue
206,2024-11-14,PED-000206,RapidFrete,Sul,Sudeste,69.77,54.77,6,Em Trânsito
207,2022-07-07,PED-000207,GlobalShip,Centro-Oeste,Nordeste,3.08,313.88,11,Em Trânsito
208,2022-06-12,PED-000208,RapidFrete,Norte,Sudeste,488.28,346.21,2,Em Trânsito
209,2024-12-21,PED-000209,ExpressCargo,Nordeste,Nordeste,326.59,381.65,9,Aguardando
210,2024-10-19,PED-000210,FastDelivery,Centro-Oeste,Sudeste,498.35,36.41,8,Entregue
211,2022-01-03,PED-000211,TransLog,Sudeste,Sul,494.15,403.8,12,Em Trânsito
212,2024-10-15,PED-000212,ExpressCargo,Nordeste,Norte,224.46,467.74,15,Entregue
213,2023-06-13,PED-000213,TransLog,Nordeste,Sudeste,208.09,249.97,11,Devolvido
214,2023-09-14,PED-000214,TransLog,Centro-Oeste,Nordeste,165.56,50.49,5,Entregue
215,2024-08-04,PED-000215,FastDelivery,Centro-Oeste,Sul,308.44,404.16,15,Aguardando
216,2023-03-28,PED-000216,GlobalShip,Sul,Nordeste,295.59,147.55,11,Em Trânsito
217,2023-01-27,PED-000217,TransLog,Sul,Norte,144.41,97.21,12,Em Trânsito
218,2025-09-12,PED-000218,FastDelivery,Nordeste,Centro-Oeste,11.94,221.13,15,Devolvido
219,2022-07-12,PED-000219,GlobalShip,Centro-Oeste,Centro-Oeste,353.72,127.81,11,Devolvido
220,2023-02-26,PED-000220,TransLog,Nordeste,Norte,23.36,452.77,7,Em Trânsito
221,2024-01-13,PED-000221,FastDelivery,Norte,Norte,445.78,448.44,10,Devolvido
222,2023-09-15,PED-000222,FastDelivery,Nordeste,Nordeste,43.85,92.51,10,Em Trânsito
223,2024-10-04,PED-000223,FastDelivery,Nordeste,Norte,459.02,34.46,7,Aguardando
224,2023-01-31,PED-000224,RapidFrete,Centro-Oeste,Sudeste,407.09,334.59,3,Em Trânsito
225,2024-12-28,PED-000225,RapidFrete,Sul,Sul,145.96,471.03,10,Em Trânsito
226,2022-04-21,PED-000226,FastDelivery,Norte,Norte,475.69,58.35,7,Entregue
227,2023-08-26,PED-000227,ExpressCargo,Nordeste,Norte,309.06,455.47,10,Devolvido
228,2023-01-29,PED-000228,TransLog,Sudeste,Centro-Oeste,175.28,124.43,1,Aguardando
229,2024-10-06,PED-000229,GlobalShip,Sul,Sul,318.42,191.84,1,Entregue
230,2022-03-01,PED-000230,GlobalShip,Nordeste,Centro-Oeste,344.29,375.7,13,Entregue
231,2023-09-14,PED-000231,TransLog,Norte,Nordeste,12.99,121.5,7,Devolvido
232,2023-09-09,PED-000232,FastDelivery,Nordeste,Sudeste,477.16,176.86,13,Em Trânsito
233,2024-04-27,PED-000233,RapidFrete,Sudeste,Sudeste,23.54,48.87,8,Entregue
234,2024-11-16,PED-000234,FastDelivery,Centro-Oeste,Sudeste,253.72,179.84,10,Entregue
235,2023-03-10,PED-000235,GlobalShip,Sudeste,Sul,148.86,365.79,1,Devolvido
236,2023-10-24,PED-000236,GlobalShip,Sul,Sul,42.29,237.55,7,Em Trânsito
237,2022-03-30,PED-000237,GlobalShip,Nordeste,Centro-Oeste,200.9,67.72,11,Em Trânsito
238,2023-06-10,PED-000238,ExpressCargo,Nordeste,Sudeste,150.93,212.34,8,Devolvido
239,2024-05-18,PED-000239,RapidFrete,Nordeste,Sul,164.96,96.86,8,Aguardando
240,2022-12-17,PED-000240,GlobalShip,Sudeste,Sul,485.07,227.92,13,Aguardando
241,2024-08-19,PED-000241,TransLog,Sudeste,Centro-Oeste,262.85,391.11,10,Entregue
242,2023-04-21,PED-000242,RapidFrete,Norte,Nordeste,372.06,366.34,8,Aguardando
243,2024-12-10,PED-000243,GlobalShip,Sudeste,Sudeste,320.32,199.21,2,Devolvido
244,2025-07-07,PED-000244,TransLog,Sul,Sul,441.19,85.22,10,Em Trânsito
245,2024-06-12,PED-000245,RapidFrete,Norte,Sudeste,473.67,176.91,12,Devolvido
246,2024-10-28,PED-000246,FastDelivery,Sul,Sul,428.25,446.37,12,Em Trânsito
247,2023-03-28,PED-000247,GlobalShip,Centro-Oeste,Sudeste,340.57,377.4,11,Entregue
248,2022-12-19,PED-000248,TransLog,Norte,Centro-Oeste,54.72,311.87,8,Entregue
249,2023-03-31,PED-000249,FastDelivery,Nordeste,Centro-Oeste,158.27,415.25,15,Aguardando
250,2023-06-10,PED-000250,GlobalShip,Norte,Sudeste,112.77,299.39,1,Entregue
251,2022-01-26,PED-000251,RapidFrete,Centro-Oeste,Nordeste,169.55,445.15,5,Aguardando
252,2023-07-24,PED-000252,GlobalShip,Centro-Oeste,Sul,231.2,407.47,15,Devolvido
253,2024-03-22,PED-000253,TransLog,Sudeste,Nordeste,469.42,483.99,7,Devolvido
254,2025-01-23,PED-000254,ExpressCargo,Centro-Oeste,Centro-Oeste,36.9,304.92,10,Aguardando
255,2024-07-23,PED-000255,GlobalShip,Nordeste,Centro-Oeste,143.84,126.69,6,Aguardando
256,2023-08-15,PED-000256,ExpressCargo,Nordeste,Nordeste,128.56,451.11,1,Em Trânsito
257,2024-09-23,PED-000257,FastDelivery,Sul,Centro-Oeste,396.79,86.51,11,Devolvido
258,2023-05-16,PED-000258,GlobalShip,Sul,Sul,478.47,84.95,5,Em Trânsito
259,2025-06-28,PED-000259,GlobalShip,Norte,Nordeste,287.28,154.13,14,Entregue
260,2023-01-23,PED-000260,ExpressCargo,Sul,Sudeste,110.14,339.59,9,Em Trânsito
261,2024-11-19,PED-000261,ExpressCargo,Nordeste,Sudeste,328.4,189.52,8,Entregue
262,2025-06-06,PED-000262,GlobalShip,Nordeste,Norte,257.58,456.79,10,Em Trânsito
263,2025-01-20,PED-000263,RapidFrete,Centro-Oeste,Sudeste,166.48,424.34,10,Devolvido
264,2025-01-14,PED-000264,ExpressCargo,Norte,Nordeste,147.1,286.53,1,Em Trânsito
265,2022-12-21,PED-000265,FastDelivery,Sudeste,Norte,230.56,76.94,14,Devolvido
266,2023-10-20,PED-000266,ExpressCargo,Sudeste,Nordeste,94.33,303.93,10,Entregue
267,2025-04-24,PED-000267,TransLog,Centro-Oeste,Sul,212.01,69.56,4,Em Trânsito
268,2025-04-08,PED-000268,GlobalShip,Centro-Oeste,Nordeste,243.12,21.08,1,Aguardando
269,2024-11-11,PED-000269,FastDelivery,Norte,Nordeste,111.98,483.39,12,Entregue
270,2022-02-04,PED-000270,FastDelivery,Sul,Nordeste,381.05,242.33,6,Devolvido
271,2024-04-02,PED-000271,RapidFrete,Centro-Oeste,Nordeste,14.96,474.03,13,Entregue
272,2023-10-04,PED-000272,TransLog,Norte,Nordeste,230.41,451.99,7,Em Trânsito
273,2024-08-19,PED-000273,RapidFrete,Centro-Oeste,Sul,329.47,392.6,6,Entregue
274,2023-03-30,PED-000274,GlobalShip,Nordeste,Sudeste,335.39,66.88,5,Entregue
275,2023-10-20,PED-000275,RapidFrete,Centro-Oeste,Norte,229.84,317.71,13,Em Trânsito
276,2022-07-02,PED-000276,GlobalShip,Sul,Sul,438.43,167.33,13,Aguardando
277,2023-04-15,PED-000277,RapidFrete,Sul,Centro-Oeste,115.94,467.47,5,Devolvido
278,2022-08-17,PED-000278,RapidFrete,Sul,Centro-Oeste,156.2,53.94,11,Devolvido
279,2022-06-28,PED-000279,FastDelivery,Centro-Oeste,Nordeste,133.59,341.97,13,Devolvido
