id,data_campanha,canal,regiao,investimento,impressoes,conversoes,taxa_conversao,departamento
64,2025-06-05,Instagram,Norte,1702.31,61411,383,4.78,Logística
65,2023-11-05,Facebook,Sudeste,38842.35,53489,96,1.14,TI
66,2023-03-18,TikTok,Nordeste,3420.47,57202,105,1.4,TI
67,2022-09-05,TikTok,Nordeste,23963.13,93617,69,1.4,TI
68,2023-09-18,Instagram,Nordeste,35346.73,85716,92,3.18,Logística
69,2022-07-12,LinkedIn,Norte,42564.1,54974,138,3.35,Vendas
70,2023-10-03,Email,Norte,36702.63,13339,222,2.46,TI
71,2023-08-18,Email,Nordeste,32475.79,39866,158,1.73,Contabilidade
72,2025-10-02,Google Ads,Nordeste,42665.03,91849,79,1.69,Vendas
73,2024-01-24,Google Ads,Sul,40444.64,41324,386,5.29,Financeiro
74,2022-07-06,Facebook,Sul,17616.76,56810,457,39.16,Marketing
75,2022-01-17,Email,Norte,20884.77,41491,140,1.71,Marketing
76,2025-06-23,Facebook,Nordeste,9701.04,62270,276,37.45,Marketing
77,2022-10-02,Email,Centro-Oeste,15621.2,13234,325,32.05,RH
78,2024-02-29,Facebook,Norte,45473.99,4560,91,2.7,Marketing
79,2023-07-02,Instagram,Sul,19228.21,78808,315,10.59,TI
80,2023-05-11,TikTok,Sudeste,31745.25,94208,89,1.4,Financeiro
81,2024-05-17,Instagram,Nordeste,29195.99,75691,479,8.28,Vendas
82,2022-07-11,Email,Norte,11662.47,9575,196,2.18,Contabilidade
83,2025-10-18,Google Ads,Sul,37749.29,31211,311,6.09,Vendas
84,2022-11-01,Email,Norte,14094.09,50616,323,4.58,Logística
85,2023-01-20,Email,Sudeste,8965.97,26076,381,11.2,Contabilidade
86,2025-01-08,LinkedIn,Nordeste,15065.41,34731,264,7.5,Financeiro
87,2024-12-14,YouTube,Sudeste,18609.26,81254,480,11.25,Logística
88,2024-01-12,Email,Nordeste,1960.4,38260,222,5.31,Logística
89,2025-06-24,Instagram,Sul,28144.8,44223,196,3.42,TI
90,2023-11-28,Google Ads,Sul,22543.36,46533,104,3.75,Contabilidade
91,2024-12-07,SEO,Sul,42642.98,36648,324,4.07,Contabilidade
92,2023-05-25,YouTube,Sul,31614.61,56305,4,0.08,Marketing
93,2022-07-16,TikTok,Sudeste,10555.51,44009,307,36.81,Marketing
94,2025-01-30,LinkedIn,Norte,22949.55,5932,410,4.18,Contabilidade
95,2022-10-07,TikTok,Nordeste,29476.28,37014,140,2.94,Logística
96,2024-04-03,YouTube,Sul,36513.32,57837,330,4.62,Financeiro
97,2025-04-01,Email,Sudeste,29493.24,3149,312,4.59,Logística
98,2025-08-08,Google Ads,Sudeste,5413.94,77577,358,37.96,TI
99,2024-06-20,Facebook,Norte,42329.34,4449,318,8.78,Contabilidade
100,2024-07-06,Facebook,Centro-Oeste,26227.61,52404,407,5.11,Contabilidade
101,2023-10-30,Google Ads,Centro-Oeste,17988.98,11036,221,2.46,Logística
102,2022-02-10,Facebook,Sudeste,25308.64,65408,483,9.87,Marketing
103,2025-10-30,Instagram,Nordeste,28192.46,38235,370,10.57,Marketing
104,2024-06-09,SEO,Norte,30573.74,37469,327,6.04,Contabilidade
105,2023-11-18,YouTube,Sudeste,45475.62,93721,330,3.46,Contabilidade
106,2023-12-04,Email,Norte,47424.74,18788,248,5.6,Vendas
107,2022-05-28,TikTok,Sul,39790.7,78047,222,7.79,Marketing
108,2023-09-08,Google Ads,Nordeste,40096.71,44311,63,6.23,Contabilidade
109,2025-01-08,SEO,Sudeste,34156.2,57076,123,4.21,Contabilidade
110,2023-09-09,Facebook,Sudeste,18881.96,33685,425,4.96,Logística
111,2024-04-13,Google Ads,Sudeste,14447.35,26672,125,2.32,RH
112,2022-06-23,Google Ads,Norte,17604.62,19520,9,0.12,RH
113,2023-11-14,Facebook,Sul,28947.47,86003,307,8.74,TI
114,2024-10-28,SEO,Nordeste,37978.69,93813,329,4.05,Financeiro
115,2024-08-30,Google Ads,Nordeste,17578.88,51763,192,3.51,Financeiro
116,2023-02-02,YouTube,Nordeste,7419.38,34256,484,9.53,Logística
117,2025-05-03,Email,Sudeste,14134.82,67672,321,3.24,Financeiro
118,2023-05-16,LinkedIn,Norte,37385.7,71414,367,28.72,Logística
119,2023-04-01,SEO,Sudeste,48153.9,90080,100,1.43,TI
120,2022-04-08,TikTok,Nordeste,23891.21,17257,431,5.81,Marketing
121,2024-08-02,TikTok,Sudeste,14069.03,23683,182,2.65,Vendas
122,2024-03-14,TikTok,Sul,19467.4,42046,482,62.27,RH
123,2025-02-09,TikTok,Sudeste,30751.24,35729,465,5.65,Contabilidade
124,2023-07-13,Email,Nordeste,42948.64,38389,313,3.76,Logística
125,2023-12-27,LinkedIn,Sudeste,16780.69,99291,300,3.93,Contabilidade
126,2022-02-26,LinkedIn,Sudeste,12762.12,52025,422,5.46,Financeiro
127,2022-02-21,Email,Nordeste,27922.88,3952,144,1.81,Financeiro
128,2023-09-24,TikTok,Centro-Oeste,23415.57,27177,41,0.82,TI
129,2024-08-22,LinkedIn,Nordeste,3893.96,8785,386,3.96,TI
130,2022-04-06,Email,Norte,39459.44,54613,329,5.3,Financeiro
131,2022-11-04,LinkedIn,Centro-Oeste,17917.71,95680,259,5.87,Marketing
132,2023-11-15,YouTube,Centro-Oeste,12283.89,33243,490,8.59,Vendas
133,2025-10-18,Instagram,Sudeste,45698.03,57339,442,71.06,Logística
134,2025-10-06,Google Ads,Norte,34208.56,35108,468,6.05,TI
135,2022-06-11,Facebook,Norte,42787.81,97418,292,7.08,Contabilidade
136,2025-09-25,SEO,Sudeste,15452.48,11196,385,27.74,RH
137,2024-10-24,YouTube,Centro-Oeste,34502.8,11531,306,20.12,RH
138,2023-10-14,LinkedIn,Sudeste,5179.94,37265,454,6.79,Financeiro
139,2023-09-20,TikTok,Sudeste,3917.39,56712,373,22.98,RH
140,2024-04-16,TikTok,Norte,32177.53,37787,331,4.32,Logística
141,2025-10-06,YouTube,Sul,29219.16,20301,204,56.82,Logística
142,2024-01-26,YouTube,Centro-Oeste,18705.91,79695,68,0.7,Marketing
143,2025-06-21,Facebook,Centro-Oeste,937.12,95152,328,11.76,Logística
144,2022-01-08,Instagram,Sul,11710.26,93323,118,3.75,Financeiro
145,2022-02-05,SEO,Centro-Oeste,21198.37,64069,146,3.59,RH
146,2022-11-15,Facebook,Centro-Oeste,26797.99,8182,89,1.51,TI
147,2024-12-25,YouTube,Sudeste,10892.44,5224,45,0.87,Financeiro
148,2023-05-14,LinkedIn,Sul,15445.66,78434,444,28.12,Marketing
149,2024-10-21,SEO,Nordeste,22743.77,35229,379,5.01,Marketing
150,2022-09-20,Google Ads,Nordeste,43250.73,43901,423,9.61,Marketing
151,2025-10-08,Instagram,Nordeste,5245.27,67132,476,5.97,Logística
152,2022-06-18,YouTube,Sudeste,11360.45,41644,182,2.21,Financeiro
153,2022-07-04,LinkedIn,Centro-Oeste,15192.07,11007,104,1.24,Logística
154,2023-12-29,SEO,Nordeste,9476.13,36066,72,1.04,Contabilidade
155,2022-06-10,SEO,Nordeste,15982.16,82526,417,4.77,Contabilidade
156,2022-12-10,Facebook,Sudeste,26944.42,73139,326,3.27,Marketing
157,2025-06-23,Google Ads,Sul,17251.99,69487,318,6.27,Logística
158,2022-06-05,Instagram,Sul,44321.02,50166,406,7.37,Marketing
159,2022-08-15,YouTube,Sudeste,40401.79,46241,429,14.24,Vendas
160,2022-07-18,LinkedIn,Centro-Oeste,26948.04,70794,482,5.09,TI
161,2022-03-26,Google Ads,Nordeste,27431.81,70844,366,31.42,Contabilidade
162,2023-01-23,Email,Nordeste,12984.23,93219,197,6.71,Marketing
163,2025-11-12,SEO,Sul,45744.92,61727,52,1.28,Contabilidade
164,2025-04-18,Facebook,Nordeste,42364.88,9298,430,5.04,Marketing
165,2023-01-31,Email,Norte,7821.41,12423,463,9.36,Logística
166,2023-05-26,Facebook,Centro-Oeste,20138.71,85032,100,1.68,Marketing
167,2022-05-09,SEO,Nordeste,9869.28,6110,27,0.84,TI
168,2022-01-22,TikTok,Sudeste,40442.52,70838,151,9.81,Logística
169,2022-04-08,YouTube,Centro-Oeste,35639.28,81466,457,5.02,Marketing
170,2023-10-17,TikTok,Sudeste,33215.83,98179,160,2.23,Vendas
171,2023-10-29,Email,Norte,37490.69,74185,156,5.02,RH
172,2024-04-12,Email,Centro-Oeste,29591.51,21014,72,7.19,Financeiro
173,2025-06-19,Facebook,Norte,15408.62,55965,42,2.32,Logística
174,2024-02-19,Facebook,Norte,37435.83,8716,328,3.76,Logística
175,2023-05-28,Instagram,Norte,6707.5,54018,340,3.83,Vendas
176,2022-09-15,Instagram,Norte,20928.42,83944,257,3.1,Marketing
177,2022-12-16,YouTube,Sul,46400.75,75511,205,3.23,Vendas
178,2025-07-17,Email,Sudeste,1620.8,76095,99,6.54,Logística
179,2025-03-10,LinkedIn,Nordeste,293.72,87776,176,3.0,Financeiro
180,2025-02-02,TikTok,Norte,6562.36,93203,67,1.97,Vendas
181,2025-08-14,TikTok,Centro-Oeste,7373.79,74250,23,0.41,RH
182,2023-06-05,LinkedIn,Sul,24717.95,61696,65,3.1,Vendas
183,2023-08-28,SEO,Nordeste,30542.0,95007,45,5.41,Marketing
184,2025-08-08,Google Ads,Nordeste,33876.88,83805,262,3.06,Financeiro
185,2022-03-31,Email,Sul,895.19,4759,194,6.59,Contabilidade
186,2023-06-21,Google Ads,Sudeste,46771.61,48004,93,1.85,Financeiro
187,2024-03-28,SEO,Norte,13248.15,95111,488,5.09,TI
188,2025-07-23,SEO,Sudeste,12933.07,52398,42,0.96,Vendas
189,2024-03-07,SEO,Centro-Oeste,1860.33,57546,461,20.01,Vendas
190,2024-12-23,TikTok,Sudeste,25789.68,46559,251,3.55,Logística
191,2025-06-10,LinkedIn,Norte,49128.55,28001,500,7.72,Logística
192,2025-08-18,Instagram,Nordeste,47953.18,78539,213,44.65,TI
193,2023-02-01,YouTube,Norte,49615.28,37627,409,5.12,Contabilidade
194,2024-07-04,Facebook,Sul,29497.17,81661,340,96.59,Vendas
195,2023-11-06,Facebook,Centro-Oeste,25496.09,69295,106,1.09,Contabilidade
196,2023-05-19,Instagram,Sul,49517.39,38990,165,3.21,TI
197,2022-09-07,Email,Sudeste,29497.15,74840,385,43.65,Marketing
198,2022-09-20,LinkedIn,Sul,11744.59,47977,225,13.86,Logística
199,2025-08-02,Google Ads,Sul,20501.09,44434,110,2.96,Vendas
200,2024-10-07,Google Ads,Sul,32909.65,34534,201,2.37,Contabilidade
201,2025-07-07,YouTube,Centro-Oeste,25901.69,50807,417,16.39,RH
202,2025-09-20,Instagram,Nordeste,44556.85,69883,188,6.72,Logística
203,2022-08-15,LinkedIn,Nordeste,26872.41,33174,0,0.0,Vendas
204,2024-11-10,SEO,Sudeste,2182.55,71146,459,9.21,Logística
205,2024-09-20,YouTube,Sudeste,47111.87,66848,216,53.73,RH
206,2023-10-26,LinkedIn,Sudeste,47459.59,36232,142,3.02,RH
207,2024-08-30,SEO,Nordeste,16340.14,11400,294,7.57,Marketing
208,2024-09-05,SEO,Centro-Oeste,31845.3,90611,41,0.75,RH
209,2024-10-27,TikTok,Centro-Oeste,31462.56,71444,472,6.22,Marketing
210,2022-05-12,Email,Sul,4440.58,51563,351,13.18,Financeiro
211,2022-09-04,Facebook,Sul,22243.76,82109,389,4.76,Financeiro
212,2023-07-04,YouTube,Centro-Oeste,12932.88,42719,114,8.92,Contabilidade
213,2024-06-11,Email,Norte,17973.7,81134,328,4.89,Financeiro
214,2023-05-02,Google Ads,Norte,26516.48,75150,218,6.26,Marketing
215,2023-01-12,Google Ads,Norte,36846.26,52904,418,12.9,Contabilidade
216,2023-11-02,TikTok,Nordeste,1978.19,23616,388,8.26,Vendas
217,2025-01-13,LinkedIn,Centro-Oeste,6400.01,87876,143,1.44,Vendas
218,2025-02-07,Google Ads,Sul,24031.91,83369,210,2.44,Contabilidade
219,2025-11-22,Google Ads,Norte,12776.58,84069,335,3.99,TI
220,2023-02-22,LinkedIn,Centro-Oeste,13802.26,73554,406,223.08,TI
221,2023-03-25,TikTok,Nordeste,41941.42,50116,170,1.95,Financeiro
222,2024-09-22,Facebook,Centro-Oeste,20072.23,43768,382,8.72,Marketing
223,2023-12-08,LinkedIn,Sul,20899.76,21216,8,0.12,TI
224,2024-09-19,Email,Sudeste,30791.21,83967,223,9.46,Financeiro
225,2023-11-13,LinkedIn,Sudeste,6888.05,92326,322,6.44,RH
226,2025-05-12,Instagram,Sul,28711.94,46747,54,0.79,Financeiro
227,2025-10-30,Instagram,Sul,36970.4,48766,473,59.35,Vendas
228,2024-01-02,SEO,Nordeste,49057.65,74017,450,10.9,Contabilidade
229,2024-07-18,SEO,Centro-Oeste,1078.55,72961,254,10.7,TI
230,2023-01-09,YouTube,Centro-Oeste,45717.87,29513,197,3.19,Financeiro
231,2023-07-01,Email,Sudeste,23936.86,1331,262,3.54,RH
232,2022-02-15,TikTok,Centro-Oeste,30514.56,11772,426,4.57,Logística
233,2025-05-28,Facebook,Sudeste,28518.95,64343,51,0.82,Marketing
234,2025-10-19,Email,Centro-Oeste,3519.23,13579,293,5.72,RH
235,2023-02-26,Facebook,Sudeste,39059.55,37122,173,1.93,Vendas
236,2023-05-16,SEO,Sul,26048.67,63373,344,7.55,Financeiro
237,2024-02-16,SEO,Sul,22302.57,5810,179,2.24,TI
238,2025-06-08,Email,Nordeste,18146.07,84708,155,3.03,Vendas
239,2025-01-04,TikTok,Sudeste,49201.13,14349,221,3.94,Contabilidade
240,2022-12-24,Instagram,Norte,20585.31,77318,288,6.47,Contabilidade
241,2022-04-21,TikTok,Sudeste,30663.33,91955,459,11.34,Marketing
242,2023-03-08,SEO,Sul,43269.93,61792,177,2.29,TI
243,2022-04-08,Facebook,Norte,49706.06,44650,339,8.01,Financeiro
244,2023-08-13,Email,Nordeste,22797.22,87928,117,9.18,Contabilidade
245,2025-11-22,TikTok,Nordeste,44732.11,23668,134,2.28,Marketing
246,2023-11-21,YouTube,Centro-Oeste,23468.09,14613,256,6.81,Marketing
247,2025-07-22,TikTok,Centro-Oeste,13591.14,13482,494,7.55,RH
248,2024-02-06,TikTok,Nordeste,16507.07,82208,332,6.33,Vendas
249,2025-01-03,SEO,Centro-Oeste,11965.58,46812,74,0.81,TI
250,2025-04-07,SEO,Sudeste,41716.09,98889,345,3.49,Marketing
251,2024-10-24,Facebook,Sudeste,41659.93,53750,185,22.42,Vendas
252,2024-12-23,Email,Norte,39392.0,26351,465,6.81,Vendas
253,2025-09-03,Email,Sudeste,11992.97,1246,379,7.54,TI
254,2024-03-31,TikTok,Norte,23304.2,34355,128,1.57,Logística
255,2025-11-21,LinkedIn,Centro-Oeste,29534.37,17316,368,4.0,Marketing
256,2023-11-28,Google Ads,Sul,35710.86,94437,292,8.0,Financeiro
257,2024-04-04,Google Ads,Norte,46947.62,61487,190,36.82,Vendas
258,2022-07-26,Google Ads,Norte,30463.31,61308,198,3.41,RH
259,2022-03-22,Facebook,Sudeste,33922.44,99265,337,49.78,Financeiro
260,2025-08-16,Email,Sul,23054.59,5383,404,4.98,RH
261,2022-12-31,SEO,Centro-Oeste,21680.56,90116,305,17.91,Financeiro
262,2022-08-13,SEO,Sul,45202.88,31978,79,0.87,Contabilidade
263,2024-05-18,TikTok,Sudeste,39593.91,89716,299,7.13,Marketing
264,2024-05-27,TikTok,Nordeste,49910.9,49236,404,6.81,Logística
265,2022-04-04,TikTok,Norte,26406.69,60566,208,9.46,Vendas
266,2023-07-08,Facebook,Nordeste,26745.53,31209,109,1.89,Contabilidade
267,2025-06-07,Google Ads,Norte,5412.88,36665,99,3.09,TI
268,2023-09-27,Instagram,Sudeste,30219.69,84263,466,9.0,RH
269,2025-10-09,LinkedIn,Centro-Oeste,11412.88,63886,207,2.2,Financeiro
270,2022-05-09,Email,Sul,22137.31,3929,419,12.65,Logística
271,2025-09-29,Google Ads,Norte,38405.43,60805,498,12.97,Contabilidade
272,2024-06-13,SEO,Sul,18273.84,21102,321,4.95,Contabilidade
273,2023-12-03,Instagram,Sudeste,1356.98,32101,89,1.14,Contabilidade
274,2025-12-20,Facebook,Nordeste,29605.74,67398,135,1.56,Financeiro
275,2022-08-01,Facebook,Nordeste,21515.3,89109,298,13.52,Vendas
276,2022-06-04,Email,Nordeste,39858.52,43240,85,3.14,Contabilidade
277,2022-08-10,TikTok,Sul,18942.78,75397,472,18.85,Contabilidade
278,2023-09-19,YouTube,Centro-Oeste,16724.02,60179,316,7.14,Logística
279,2024-02-02,LinkedIn,Nordeste,31492.86,50123,193,3.65,Marketing
280,2022-08-13,Facebook,Sul,14391.87,88258,39,0.68,TI
281,2024-07-10,LinkedIn,Sul,10770.08,3397,471,8.35,Vendas
282,2025-08-20,Facebook,Sul,2991.14,29362,282,3.82,Contabilidade
283,2024-11-16,Email,Norte,47565.86,71393,219,4.68,Contabilidade
284,2023-06-17,YouTube,Nordeste,24883.09,22733,41,7.36,TI
285,2023-05-15,LinkedIn,Nordeste,13125.67,43420,267,5.97,TI
286,2023-01-14,TikTok,Nordeste,44980.07,72002,56,1.6,Financeiro
287,2024-11-06,TikTok,Sudeste,669.75,39152,0,0.0,Financeiro
288,2022-01-22,YouTube,Sudeste,2405.87,58080,293,15.62,RH
289,2024-02-12,Instagram,Sul,11938.19,49912,238,167.61,Financeiro
290,2025-11-12,Facebook,Sudeste,21111.28,25319,247,15.1,Financeiro
291,2025-01-22,YouTube,Sul,7449.36,7465,144,2.87,TI
292,2025-03-22,LinkedIn,Norte,25100.09,30646,416,15.12,Financeiro
293,2023-11-04,YouTube,Centro-Oeste,42263.04,81577,335,4.7,Financeiro
294,2025-06-09,Facebook,Sudeste,14995.68,5850,301,5.58,Logística
295,2023-04-18,Google Ads,Sudeste,45319.75,33790,385,4.09,TI
296,2025-12-24,TikTok,Norte,48266.28,31076,368,7.38,Vendas
297,2022-08-23,TikTok,Norte,16881.02,17172,338,3.69,TI
298,2025-02-18,Facebook,Nordeste,36895.91,53049,191,2.12,Vendas
299,2022-01-23,TikTok,Centro-Oeste,29020.9,23957,237,11.67,Marketing
300,2025-05-10,LinkedIn,Sudeste,46121.45,96502,34,1.44,Contabilidade
301,2022-12-18,YouTube,Norte,43744.0,19428,487,16.49,TI
302,2022-02-21,TikTok,Centro-Oeste,21229.84,37221,376,4.41,TI
303,2025-05-20,LinkedIn,Nordeste,7164.07,49241,431,4.77,Vendas
304,2023-09-03,LinkedIn,Sul,37824.67,84725,423,29.09,TI
305,2023-05-06,SEO,Norte,20471.86,63916,229,4.4,Marketing
306,2025-03-21,LinkedIn,Centro-Oeste,45921.99,17006,193,36.76,Vendas
307,2022-04-07,Facebook,Nordeste,36746.79,72182,155,3.77,Vendas
308,2024-01-23,TikTok,Sul,4430.35,76784,169,57.29,Vendas
309,2025-05-19,TikTok,Norte,17009.85,65589,388,4.75,TI
310,2022-02-24,LinkedIn,Norte,42865.31,46272,358,5.24,RH
311,2025-03-19,Email,Norte,22649.87,17982,29,0.68,Logística
312,2022-07-10,YouTube,Centro-Oeste,19161.14,71892,168,4.31,Contabilidade
313,2025-04-24,SEO,Nordeste,31766.16,32335,284,3.82,Financeiro
314,2025-02-15,TikTok,Sudeste,27974.92,60966,59,0.76,Contabilidade
315,2022-05-05,Google Ads,Sudeste,33394.83,37675,439,11.62,Marketing
316,2025-09-05,TikTok,Nordeste,16297.41,11489,488,6.22,Contabilidade
317,2023-04-08,Instagram,Centro-Oeste,11893.08,77040,116,1.66,Logística
318,2024-07-13,SEO,Sudeste,41452.99,35606,371,6.54,TI
319,2025-01-16,Email,Sul,38996.13,6660,154,1.59,Marketing
320,2023-03-21,Facebook,Sul,35075.38,13154,224,3.9,Financeiro
321,2023-08-16,Instagram,Sudeste,1074.73,7745,174,2.3,RH
322,2024-01-08,Email,Sudeste,38994.58,55205,298,14.74,TI
323,2025-03-25,TikTok,Sudeste,5464.38,41196,247,3.31,Marketing
324,2023-12-21,YouTube,Centro-Oeste,14567.51,61468,380,14.87,RH
325,2022-11-07,Instagram,Sudeste,28307.19,90538,233,2.44,Vendas
326,2023-07-04,Google Ads,Nordeste,14872.56,77017,172,63.7,RH
327,2025-11-04,YouTube,Sul,25422.78,46727,489,7.06,TI
328,2025-04-23,Instagram,Sudeste,42158.26,9870,194,5.27,RH
329,2025-01-27,TikTok,Norte,6697.62,82893,209,2.84,Financeiro
330,2025-05-05,SEO,Sudeste,44529.5,6358,224,6.47,RH
331,2024-04-12,Instagram,Sudeste,28293.54,30205,422,5.12,Financeiro
332,2024-06-28,Facebook,Norte,29504.05,8231,450,6.19,Contabilidade
333,2022-09-10,Instagram,Sul,11994.31,79259,183,2.62,Vendas
334,2022-03-08,YouTube,Sul,9452.82,86610,406,14.24,Marketing
335,2023-01-30,LinkedIn,Norte,10165.64,19756,118,3.25,RH
336,2023-06-01,Email,Sudeste,29510.39,3956,117,1.75,Contabilidade
337,2024-02-13,Email,Nordeste,35447.62,90135,14,10.22,Financeiro
338,2022-09-25,LinkedIn,Centro-Oeste,30637.41,58363,335,3.76,Financeiro
339,2025-05-11,Email,Norte,16223.62,18896,71,0.85,Marketing
340,2022-04-10,Google Ads,Sudeste,12197.76,35721,366,8.6,RH
341,2023-11-20,Email,Sul,44300.48,63767,284,5.0,Vendas
342,2025-03-31,Google Ads,Centro-Oeste,5421.03,22852,492,8.16,Marketing
343,2022-10-21,Google Ads,Centro-Oeste,48157.97,33450,463,6.28,Financeiro
344,2022-09-28,SEO,Centro-Oeste,38030.62,4914,154,1.94,RH
345,2024-05-18,TikTok,Sul,42996.03,53020,487,88.71,Logística
346,2025-04-23,Instagram,Nordeste,9103.27,17035,117,2.8,TI
347,2022-07-10,SEO,Sul,45860.95,53597,17,0.25,Vendas
348,2025-03-27,Instagram,Sul,47575.88,62862,397,4.24,RH
349,2024-11-29,TikTok,Nordeste,38859.14,92706,81,6.0,Marketing
350,2023-09-27,SEO,Sudeste,40091.79,23764,412,4.32,Contabilidade
351,2025-09-27,YouTube,Centro-Oeste,5743.7,40376,468,23.62,Financeiro
352,2023-01-10,Google Ads,Sudeste,516.26,1588,99,23.74,Marketing
353,2023-01-02,TikTok,Centro-Oeste,4021.19,45364,21,1.5,Vendas
354,2025-10-26,Instagram,Norte,46955.94,11783,75,0.92,Marketing
355,2023-07-11,Facebook,Sudeste,14948.12,37100,484,5.51,Financeiro
356,2025-11-26,Facebook,Norte,31013.75,36266,337,4.99,Financeiro
357,2023-10-17,Google Ads,Norte,6667.24,47597,238,8.2,Financeiro
358,2024-07-05,Email,Centro-Oeste,34079.2,23388,292,31.33,Vendas
359,2022-04-24,TikTok,Sul,43399.29,45781,203,4.15,Logística
360,2023-01-22,LinkedIn,Norte,27188.36,76086,480,7.74,RH
