id,data,ticker,empresa,abertura,maxima,minima,fechamento,volume,variacao_percentual
55,2022-02-23,PETR4,Petrobras,110.59,112.46,110.19,108.26,817999,-2.11
56,2022-02-17,BBAS3,Banco do Brasil,27.46,27.62,28.21,28.7,27334201,4.52
57,2024-12-10,BBAS3,Banco do Brasil,108.63,108.9,106.58,111.23,45356776,2.39
58,2023-11-06,ABEV3,Ambev,92.94,93.33,91.67,88.49,2488953,-4.79
59,2023-11-27,WEGE3,WEG,111.39,109.33,113.21,108.34,49980096,-2.74
60,2024-12-14,SUZB3,Suzano,94.57,94.24,91.94,98.87,31969361,4.55
61,2022-07-16,RENT3,Localiza,73.92,74.38,73.2,75.31,12001054,1.88
62,2023-11-05,PETR4,Petrobras,15.62,15.91,15.44,19.81,35147112,26.82
63,2023-01-05,BBDC4,Bradesco,61.12,60.34,60.55,63.92,42028674,4.58
64,2024-05-15,MGLU3,Magazine Luiza,100.6,102.49,99.17,101.55,48020477,0.94
65,2025-12-11,ITUB4,Itaú,115.4,113.75,115.07,117.53,4710947,1.85
66,2024-08-12,RENT3,Localiza,72.69,73.47,70.7,69.28,22889235,-4.69
67,2023-12-12,MGLU3,Magazine Luiza,166.91,164.45,163.58,165.46,48823131,-0.87
68,2023-05-19,VALE3,Vale,133.26,133.94,135.25,137.47,34663404,3.16
69,2025-09-16,BBDC4,Bradesco,120.81,121.22,122.46,118.12,42016998,-2.23
70,2023-03-03,MGLU3,Magazine Luiza,41.28,42.02,40.72,44.71,9751421,8.31
71,2023-09-20,PETR4,Petrobras,71.94,71.61,70.28,72.37,1913806,0.6
72,2022-11-20,ITUB4,Itaú,166.9,167.19,162.66,166.36,7458519,-0.32
73,2023-11-23,RENT3,Localiza,97.16,98.09,96.23,96.19,5128974,-1.0
74,2022-04-30,MGLU3,Magazine Luiza,36.04,36.37,37.07,33.27,36171308,-7.69
75,2022-06-28,RENT3,Localiza,12.6,12.53,12.59,13.76,23942864,9.21
76,2024-06-07,ITUB4,Itaú,26.01,26.34,25.73,30.37,38370778,16.76
77,2023-02-22,MGLU3,Magazine Luiza,101.95,100.83,103.81,104.22,43753925,2.23
78,2025-03-24,SUZB3,Suzano,106.69,105.98,108.48,103.04,48798343,-3.42
79,2024-03-19,PETR4,Petrobras,46.96,47.29,46.29,48.26,49223739,2.77
80,2024-04-23,MGLU3,Magazine Luiza,90.47,92.12,88.69,93.4,1940804,3.24
81,2022-10-19,BBDC4,Bradesco,191.89,195.48,190.33,195.44,5096615,1.85
82,2023-07-19,SUZB3,Suzano,31.03,31.04,31.18,30.27,38398486,-2.45
83,2024-08-06,PETR4,Petrobras,69.09,68.35,70.61,70.84,7342462,2.53
84,2022-05-26,PETR4,Petrobras,153.28,153.62,152.47,149.59,2220306,-2.41
85,2022-01-18,VALE3,Vale,195.58,198.48,198.64,190.63,23865145,-2.53
86,2025-01-29,RENT3,Localiza,19.25,19.27,19.69,18.06,27984453,-6.18
87,2022-10-19,RENT3,Localiza,86.3,85.71,86.09,84.68,23773634,-1.88
88,2022-01-12,BBDC4,Bradesco,107.0,108.56,108.75,102.0,17057274,-4.67
89,2025-09-17,SUZB3,Suzano,176.21,176.48,177.54,178.56,8241517,1.33
90,2024-05-19,WEGE3,WEG,112.5,110.93,110.89,113.15,15714853,0.58
91,2024-12-06,VALE3,Vale,107.68,109.31,110.33,103.66,2768879,-3.73
92,2022-01-03,VALE3,Vale,63.83,65.05,64.47,60.18,30223616,-5.72
93,2023-07-06,WEGE3,WEG,123.95,124.39,124.91,126.74,14417744,2.25
94,2025-12-11,BBDC4,Bradesco,25.64,25.17,25.42,23.51,22677595,-8.31
95,2024-02-04,SUZB3,Suzano,172.36,175.47,176.43,176.08,28175739,2.16
96,2024-08-11,ITUB4,Itaú,142.1,139.68,141.26,138.84,16122638,-2.29
97,2022-07-12,BBDC4,Bradesco,169.74,170.34,167.93,170.13,13896537,0.23
98,2023-12-22,ITUB4,Itaú,69.58,69.68,71.22,65.45,1894800,-5.94
99,2025-07-27,RENT3,Localiza,96.41,98.17,95.19,91.47,21119988,-5.12
100,2022-04-10,BBAS3,Banco do Brasil,70.6,70.57,70.7,67.63,17045456,-4.21
101,2025-10-30,WEGE3,WEG,185.11,185.25,189.2,180.34,18864362,-2.58
102,2022-10-12,BBAS3,Banco do Brasil,119.56,118.42,115.98,118.65,7813703,-0.76
103,2024-06-14,SUZB3,Suzano,163.51,166.09,167.9,160.25,17718300,-1.99
104,2025-10-27,RENT3,Localiza,66.29,67.26,66.05,69.32,1141234,4.57
105,2024-08-17,ABEV3,Ambev,146.69,149.08,150.4,146.91,11488333,0.15
106,2024-02-24,ABEV3,Ambev,38.63,37.91,37.86,43.39,25898011,12.32
107,2025-06-08,MGLU3,Magazine Luiza,40.19,40.53,41.24,41.5,46112017,3.26
108,2022-05-11,PETR4,Petrobras,83.39,82.87,81.69,84.02,26166833,0.76
109,2025-07-31,BBDC4,Bradesco,151.95,152.67,153.43,149.12,18274728,-1.86
110,2025-09-10,ITUB4,Itaú,192.73,191.35,189.35,196.16,45757293,1.78
111,2024-12-09,SUZB3,Suzano,104.2,104.69,107.09,103.96,35186301,-0.23
112,2023-12-23,PETR4,Petrobras,117.57,115.32,117.15,118.77,3768894,1.02
113,2024-03-03,BBAS3,Banco do Brasil,141.42,138.7,137.57,141.44,37298582,0.01
114,2024-09-27,PETR4,Petrobras,32.45,32.1,31.55,29.86,33439629,-7.98
115,2022-08-06,BBDC4,Bradesco,49.36,50.06,50.57,47.43,37318034,-3.91
116,2022-07-31,BBAS3,Banco do Brasil,75.87,74.96,77.48,75.37,33445916,-0.66
117,2022-02-19,BBDC4,Bradesco,63.37,63.03,64.82,67.68,18241382,6.8
118,2023-08-12,BBDC4,Bradesco,110.45,111.73,109.12,114.92,11871047,4.05
119,2023-11-27,SUZB3,Suzano,60.47,59.42,61.31,55.99,22836831,-7.41
120,2022-02-12,WEGE3,WEG,142.17,141.45,139.32,143.4,8159613,0.87
121,2023-06-04,BBDC4,Bradesco,102.69,102.22,103.72,103.77,5052707,1.05
122,2023-10-07,VALE3,Vale,140.62,139.55,142.45,138.81,6844501,-1.29
123,2025-02-01,VALE3,Vale,125.88,126.12,126.32,122.38,8575644,-2.78
124,2023-01-23,VALE3,Vale,40.35,40.98,39.66,36.75,25003870,-8.92
125,2023-09-20,ABEV3,Ambev,78.68,77.19,77.21,80.24,2597538,1.98
126,2025-07-22,BBAS3,Banco do Brasil,154.91,154.77,153.07,152.96,20737368,-1.26
127,2022-10-21,PETR4,Petrobras,114.49,115.43,111.72,111.1,23826660,-2.96
128,2024-03-30,VALE3,Vale,194.67,194.01,193.31,191.86,13647513,-1.44
129,2025-02-08,VALE3,Vale,11.21,11.09,11.22,14.64,26688512,30.6
130,2025-10-04,BBAS3,Banco do Brasil,59.1,59.53,59.52,55.31,39039900,-6.41
131,2023-07-27,BBDC4,Bradesco,96.99,97.53,97.7,98.64,48258063,1.7
132,2022-12-26,BBDC4,Bradesco,181.77,180.64,177.57,177.07,27034336,-2.59
133,2022-01-27,BBDC4,Bradesco,65.32,65.47,66.01,60.49,540481,-7.39
134,2024-11-02,VALE3,Vale,61.41,60.93,61.6,63.34,40792891,3.14
135,2022-04-11,MGLU3,Magazine Luiza,109.19,107.03,108.91,109.8,18955756,0.56
136,2023-06-02,BBAS3,Banco do Brasil,48.68,48.57,47.72,52.36,30362595,7.56
137,2022-01-11,BBAS3,Banco do Brasil,43.07,43.65,43.64,45.99,32016189,6.78
138,2022-12-06,WEGE3,WEG,123.76,123.66,127.03,118.98,21545441,-3.86
139,2022-01-16,RENT3,Localiza,180.02,177.13,184.06,184.97,34936019,2.75
140,2024-08-31,VALE3,Vale,166.34,166.13,170.93,165.59,17792246,-0.45
141,2022-09-13,BBAS3,Banco do Brasil,151.44,151.07,149.49,149.73,6170509,-1.13
142,2022-05-18,BBAS3,Banco do Brasil,12.81,13.0,13.13,9.26,48475462,-27.71
143,2024-10-02,VALE3,Vale,109.35,111.2,110.45,106.97,42061657,-2.18
144,2023-04-15,BBAS3,Banco do Brasil,60.7,59.5,59.59,56.02,19092193,-7.71
145,2024-10-23,BBDC4,Bradesco,157.78,158.17,157.65,159.49,49940539,1.08
146,2025-02-18,RENT3,Localiza,65.79,65.76,64.32,62.69,5525411,-4.71
147,2024-05-02,BBDC4,Bradesco,71.96,71.17,73.42,72.5,29053170,0.75
148,2022-04-06,ABEV3,Ambev,126.2,123.72,122.51,121.41,43035851,-3.8
149,2023-12-16,BBDC4,Bradesco,73.91,72.92,75.83,77.0,18767696,4.18
150,2025-01-14,PETR4,Petrobras,195.16,193.05,199.79,197.45,13585982,1.17
151,2025-06-24,BBDC4,Bradesco,178.85,175.33,178.86,178.36,14613261,-0.27
152,2022-01-16,ABEV3,Ambev,16.62,16.73,16.77,13.47,48549878,-18.95
153,2023-08-16,SUZB3,Suzano,165.83,168.84,164.22,170.21,8508896,2.64
154,2024-06-04,ABEV3,Ambev,48.89,48.91,49.22,53.59,13582641,9.61
155,2022-02-15,ABEV3,Ambev,98.24,98.56,95.83,102.39,28559366,4.22
156,2022-01-26,WEGE3,WEG,136.04,135.96,137.34,135.29,23307578,-0.55
157,2023-05-18,BBDC4,Bradesco,134.68,136.26,138.68,130.18,49826628,-3.34
158,2022-12-26,BBDC4,Bradesco,32.87,32.31,32.33,31.98,41835402,-2.71
159,2023-02-22,SUZB3,Suzano,125.27,123.82,123.96,126.62,40242628,1.08
160,2024-02-17,WEGE3,WEG,127.18,129.15,123.53,127.95,37948610,0.61
161,2022-03-05,MGLU3,Magazine Luiza,15.28,15.32,15.72,11.16,25329802,-26.96
162,2025-07-15,BBDC4,Bradesco,62.63,63.22,61.34,58.02,29810335,-7.36
163,2024-06-23,MGLU3,Magazine Luiza,126.67,128.51,128.76,128.31,17526325,1.29
164,2023-11-08,RENT3,Localiza,124.79,124.08,126.15,124.69,10794420,-0.08
165,2023-09-16,PETR4,Petrobras,25.93,25.45,26.65,23.06,35276337,-11.07
166,2024-02-17,BBDC4,Bradesco,65.08,64.99,64.96,69.05,16163222,6.1
167,2025-03-20,WEGE3,WEG,13.03,13.04,13.25,12.87,35977670,-1.23
168,2025-03-27,SUZB3,Suzano,46.43,46.83,47.67,50.66,28345541,9.11
169,2024-10-09,WEGE3,WEG,51.03,51.87,50.69,50.13,25703266,-1.76
170,2024-06-06,WEGE3,WEG,173.14,173.34,176.74,175.55,32049671,1.39
171,2023-12-19,BBDC4,Bradesco,29.88,30.02,29.62,31.94,44200460,6.89
172,2022-11-19,VALE3,Vale,125.71,123.32,128.1,125.73,21959115,0.02
173,2024-01-06,ITUB4,Itaú,198.21,200.14,201.15,197.59,44099794,-0.31
174,2023-12-20,MGLU3,Magazine Luiza,144.23,146.77,142.85,140.39,41273565,-2.66
175,2025-10-15,WEGE3,WEG,116.67,117.52,119.12,118.16,12134263,1.28
176,2024-08-22,BBAS3,Banco do Brasil,85.29,85.58,86.02,87.35,34560695,2.42
177,2023-06-04,PETR4,Petrobras,93.33,91.84,93.99,95.6,31227277,2.43
178,2023-08-08,BBAS3,Banco do Brasil,157.75,160.46,154.22,162.63,30634768,3.09
179,2024-06-17,ABEV3,Ambev,178.64,180.1,179.05,180.82,48994214,1.22
180,2023-09-13,PETR4,Petrobras,56.8,56.85,57.39,55.26,24504111,-2.71
181,2022-01-13,SUZB3,Suzano,136.38,134.11,135.38,134.96,7787475,-1.04
182,2022-07-28,BBAS3,Banco do Brasil,94.55,94.32,93.62,94.91,9013484,0.38
183,2023-01-03,BBAS3,Banco do Brasil,138.76,139.76,139.77,138.74,18840854,-0.01
184,2025-06-27,SUZB3,Suzano,161.87,163.32,157.99,161.75,37827887,-0.07
185,2025-12-15,VALE3,Vale,117.02,117.1,113.77,120.62,47701194,3.08
186,2023-08-22,SUZB3,Suzano,91.44,90.71,89.36,89.59,23632146,-2.02
187,2022-07-21,ITUB4,Itaú,16.24,16.2,16.57,15.44,26461850,-4.93
188,2025-06-09,WEGE3,WEG,183.42,180.79,179.89,183.53,36950336,0.06
189,2023-10-22,BBDC4,Bradesco,174.55,177.04,176.72,170.24,16763041,-2.47
190,2024-12-21,PETR4,Petrobras,162.71,163.95,166.03,163.49,21854062,0.48
191,2022-10-06,ABEV3,Ambev,58.36,57.72,59.11,56.34,35354739,-3.46
192,2022-07-30,VALE3,Vale,148.22,148.51,146.98,152.11,40535025,2.62
193,2022-11-12,SUZB3,Suzano,102.44,101.41,105.07,98.69,13023526,-3.66
194,2023-04-03,BBDC4,Bradesco,141.92,143.64,145.08,146.69,14919089,3.36
195,2024-04-03,ITUB4,Itaú,62.7,62.02,63.48,67.45,42314380,7.58
196,2022-05-07,ITUB4,Itaú,82.24,81.42,80.01,86.91,30786497,5.68
197,2024-06-27,BBAS3,Banco do Brasil,14.06,13.93,14.17,14.99,35216303,6.61
198,2025-03-13,MGLU3,Magazine Luiza,78.88,79.09,78.28,82.38,23154683,4.44
199,2023-12-31,ABEV3,Ambev,82.59,81.16,82.41,80.45,1333431,-2.59
200,2023-08-24,ITUB4,Itaú,107.95,106.07,107.86,103.2,17190255,-4.4
201,2024-11-06,WEGE3,WEG,89.74,91.28,87.58,89.43,43987778,-0.35
202,2024-01-10,ITUB4,Itaú,43.63,43.63,44.47,48.57,39056981,11.32
203,2022-01-05,PETR4,Petrobras,88.93,88.2,88.82,84.45,28192983,-5.04
204,2024-10-28,SUZB3,Suzano,40.13,39.69,41.31,43.5,14061834,8.4
205,2022-03-11,ABEV3,Ambev,98.76,97.17,98.11,101.89,18369645,3.17
206,2023-02-12,ITUB4,Itaú,72.55,73.52,73.47,73.65,20182966,1.52
207,2024-10-11,BBAS3,Banco do Brasil,41.7,42.1,41.21,37.44,30448387,-10.22
208,2022-02-07,ITUB4,Itaú,50.57,51.02,51.7,53.74,27109030,6.27
209,2024-07-15,RENT3,Localiza,72.46,71.3,74.37,74.06,45527868,2.21
210,2025-03-04,BBDC4,Bradesco,71.64,72.83,71.2,66.89,35183637,-6.63
211,2023-06-16,SUZB3,Suzano,97.98,96.27,100.36,99.61,38268094,1.66
212,2022-12-15,BBAS3,Banco do Brasil,145.19,144.53,147.97,140.25,41804115,-3.4
213,2025-01-29,WEGE3,WEG,13.16,13.02,13.06,12.38,41254577,-5.93
214,2022-12-08,WEGE3,WEG,145.56,146.31,149.89,143.45,8834778,-1.45
215,2022-08-21,WEGE3,WEG,103.81,102.16,106.07,104.72,20144522,0.88
216,2023-03-05,ABEV3,Ambev,137.88,136.4,134.22,137.22,38074328,-0.48
217,2024-02-22,BBAS3,Banco do Brasil,93.77,93.1,96.46,93.23,28821430,-0.58
218,2024-01-08,SUZB3,Suzano,156.16,156.2,160.02,157.16,26957177,0.64
219,2024-10-17,ITUB4,Itaú,86.87,87.33,87.33,82.14,37807837,-5.44
220,2022-09-21,RENT3,Localiza,50.83,50.8,49.53,53.99,3915778,6.22
221,2023-06-15,ABEV3,Ambev,182.31,181.76,177.3,182.98,12853058,0.37
222,2025-05-21,MGLU3,Magazine Luiza,138.35,137.75,141.18,133.77,45601974,-3.31
223,2022-03-17,ABEV3,Ambev,179.74,178.2,174.88,182.25,19467361,1.4
224,2022-01-22,VALE3,Vale,65.11,65.28,63.96,62.08,18936450,-4.65
225,2023-05-02,WEGE3,WEG,163.44,165.67,163.44,163.48,13056836,0.02
226,2022-03-13,VALE3,Vale,78.84,79.21,79.87,78.67,11178408,-0.22
227,2025-07-23,ITUB4,Itaú,38.73,38.39,38.17,33.75,45138202,-12.86
228,2025-01-20,ITUB4,Itaú,64.97,64.21,66.39,67.76,33596511,4.29
229,2025-03-27,PETR4,Petrobras,101.83,102.4,104.76,103.41,32694685,1.55
230,2023-05-17,ITUB4,Itaú,183.78,182.53,178.67,178.87,17186831,-2.67
231,2025-08-08,RENT3,Localiza,161.72,160.75,157.1,156.98,23291396,-2.93
232,2025-06-08,SUZB3,Suzano,50.05,50.35,51.37,45.16,5803535,-9.77
233,2025-06-30,ITUB4,Itaú,80.86,79.38,79.94,78.11,970434,-3.4
234,2022-07-01,RENT3,Localiza,184.25,186.64,188.57,185.61,4122527,0.74
235,2025-01-24,RENT3,Localiza,121.04,121.54,122.31,116.37,34996636,-3.86
236,2023-05-09,MGLU3,Magazine Luiza,128.69,127.7,129.5,128.95,1315849,0.2
237,2025-05-05,WEGE3,WEG,147.49,147.4,149.84,143.23,16897066,-2.89
238,2025-03-31,BBDC4,Bradesco,99.81,99.15,98.65,97.99,36668648,-1.82
239,2022-01-13,ABEV3,Ambev,173.33,173.02,171.4,177.75,34503100,2.55
240,2022-07-27,ITUB4,Itaú,134.98,135.68,135.59,131.71,33001189,-2.42
241,2022-09-06,PETR4,Petrobras,88.37,87.22,90.41,85.49,5202111,-3.26
242,2022-09-23,MGLU3,Magazine Luiza,64.25,65.19,62.62,62.51,8723257,-2.71
243,2022-03-11,WEGE3,WEG,71.2,72.09,73.11,72.59,10674388,1.95
244,2023-06-21,ITUB4,Itaú,66.93,67.22,68.01,70.69,3908878,5.62
245,2022-03-15,BBDC4,Bradesco,73.05,73.23,71.58,73.08,16078192,0.04
246,2024-01-04,BBAS3,Banco do Brasil,78.43,79.04,78.35,79.41,22596618,1.25
247,2025-05-20,SUZB3,Suzano,175.9,177.89,179.41,174.3,43688628,-0.91
248,2024-03-31,ITUB4,Itaú,48.49,49.05,47.97,50.16,19842510,3.44
249,2025-05-07,ABEV3,Ambev,69.77,69.12,71.58,73.07,12942004,4.73
250,2025-11-24,PETR4,Petrobras,25.76,26.02,25.36,24.62,29562615,-4.43
251,2025-09-13,ABEV3,Ambev,109.03,108.74,110.51,104.16,23904642,-4.47
252,2022-07-10,RENT3,Localiza,162.9,161.69,162.03,164.16,15625138,0.77
253,2025-11-10,BBAS3,Banco do Brasil,161.35,163.34,161.28,159.46,37681241,-1.17
254,2022-03-27,ABEV3,Ambev,126.89,128.88,128.53,129.08,36917422,1.73
255,2024-12-04,MGLU3,Magazine Luiza,78.84,77.73,77.3,79.96,42159904,1.42
256,2024-02-17,BBDC4,Bradesco,43.81,44.2,43.38,48.74,33887164,11.25
257,2022-07-30,WEGE3,WEG,112.46,114.47,115.79,110.25,45959444,-1.97
258,2023-05-04,MGLU3,Magazine Luiza,99.98,99.81,97.48,100.98,16962074,1.0
259,2025-08-09,SUZB3,Suzano,57.56,57.77,56.67,60.22,21152507,4.62
260,2022-11-22,VALE3,Vale,115.23,115.09,114.05,111.92,2786008,-2.87
261,2024-09-11,RENT3,Localiza,61.33,61.36,59.98,63.18,38036611,3.02
262,2024-02-01,WEGE3,WEG,59.5,59.8,58.77,62.51,11505816,5.06
263,2025-04-15,BBDC4,Bradesco,89.64,87.87,88.52,86.43,157064,-3.58
264,2025-08-22,PETR4,Petrobras,41.32,42.14,41.03,42.1,35224718,1.89
265,2022-09-22,ABEV3,Ambev,168.99,170.54,169.35,165.74,45030024,-1.92
266,2023-01-21,SUZB3,Suzano,79.66,79.64,78.65,83.66,30038475,5.02
267,2024-02-04,ITUB4,Itaú,127.09,125.76,129.74,127.12,18234136,0.02
268,2023-08-05,PETR4,Petrobras,121.89,120.92,121.81,121.72,11819957,-0.14
269,2022-03-10,BBAS3,Banco do Brasil,138.06,140.49,134.54,137.18,36181658,-0.64
270,2025-10-17,ITUB4,Itaú,128.84,128.98,128.06,133.83,26113917,3.87
271,2025-10-28,ITUB4,Itaú,33.46,34.12,33.32,33.68,36201165,0.66
272,2023-11-05,SUZB3,Suzano,192.53,194.79,193.49,193.15,17375567,0.32
273,2022-11-26,PETR4,Petrobras,49.79,49.85,48.82,53.71,1872306,7.87
274,2024-03-04,PETR4,Petrobras,172.79,170.92,173.07,172.43,49213667,-0.21
275,2025-02-17,WEGE3,WEG,62.85,62.69,62.24,64.58,20506343,2.75
276,2024-01-08,ABEV3,Ambev,105.74,106.13,107.82,108.37,46166886,2.49
277,2022-01-22,PETR4,Petrobras,24.14,23.83,24.7,22.36,31630594,-7.37
278,2024-07-29,VALE3,Vale,95.97,95.36,97.52,100.62,26448806,4.85
279,2023-05-09,BBDC4,Bradesco,140.97,140.44,139.89,139.52,8396499,-1.03
280,2022-04-02,ABEV3,Ambev,134.64,137.02,136.48,139.04,13819391,3.27
281,2025-01-30,SUZB3,Suzano,15.15,15.36,14.87,19.23,48350029,26.93
282,2023-12-07,PETR4,Petrobras,141.82,140.89,143.8,142.25,22598125,0.3
283,2025-05-13,ABEV3,Ambev,121.24,123.35,124.22,119.09,44838330,-1.77
284,2022-07-28,PETR4,Petrobras,64.79,64.22,65.53,61.24,40955872,-5.48
285,2024-03-19,VALE3,Vale,55.44,56.5,56.25,54.69,16074277,-1.35
286,2024-06-07,ABEV3,Ambev,162.8,161.09,167.43,162.38,7532140,-0.26
287,2022-10-11,PETR4,Petrobras,60.01,60.87,58.59,59.44,6494288,-0.95
288,2024-04-17,VALE3,Vale,195.84,194.73,192.37,197.76,39041147,0.98
289,2023-08-12,ITUB4,Itaú,176.29,177.11,173.99,176.94,577275,0.37
290,2023-01-26,ABEV3,Ambev,176.61,176.87,174.82,180.81,17121883,2.38
291,2023-05-09,WEGE3,WEG,122.6,120.92,125.45,125.29,36706207,2.19
292,2023-02-16,ABEV3,Ambev,53.21,53.81,53.23,51.59,9957248,-3.04
293,2022-08-09,WEGE3,WEG,58.87,57.8,57.27,58.07,2384369,-1.36
294,2024-05-28,WEGE3,WEG,137.51,137.25,137.87,132.85,23386705,-3.39
295,2023-09-16,RENT3,Localiza,190.02,190.54,188.69,191.72,35653933,0.89
296,2024-02-08,PETR4,Petrobras,42.74,42.16,42.85,44.26,23144271,3.56
297,2024-04-19,PETR4,Petrobras,195.01,194.7,197.86,191.39,42254058,-1.86
298,2022-12-29,MGLU3,Magazine Luiza,94.68,94.89,91.87,96.79,45790097,2.23
299,2022-05-20,ITUB4,Itaú,144.09,146.96,144.35,147.51,48816339,2.37
300,2025-04-09,PETR4,Petrobras,134.0,131.87,132.51,138.53,31959079,3.38
301,2023-09-21,PETR4,Petrobras,49.63,49.01,49.24,54.55,36428971,9.91
302,2023-10-06,ABEV3,Ambev,166.78,164.77,167.09,164.68,39434181,-1.26
303,2025-11-28,MGLU3,Magazine Luiza,65.44,64.72,66.9,69.48,21376595,6.17
304,2025-09-21,SUZB3,Suzano,133.02,132.59,133.21,136.45,41645329,2.58
305,2024-04-12,MGLU3,Magazine Luiza,195.04,194.79,193.92,194.9,48853393,-0.07
306,2024-06-20,RENT3,Localiza,136.57,134.49,134.68,139.04,45770670,1.81
307,2023-04-28,BBDC4,Bradesco,29.03,29.43,29.65,27.94,14098963,-3.75
308,2022-08-18,PETR4,Petrobras,159.42,156.32,156.35,159.82,41725720,0.25
309,2025-09-11,WEGE3,WEG,151.05,149.63,152.54,152.79,25775179,1.15
310,2025-02-04,BBAS3,Banco do Brasil,114.75,114.19,116.19,116.43,24050446,1.46
