id,data_lancamento,regiao,receita,despesa,lucro,margem_percentual,mes,ano
158,2023-03-07,Centro-Oeste,428065.41,168499.07,259566.34,60.64,Jan,2025
159,2023-11-07,Centro-Oeste,282915.85,238528.92,44386.93,15.69,Fev,2023
160,2023-02-02,Norte,494584.25,202399.78,292184.47,59.08,Nov,2022
161,2022-04-23,Sul,402177.48,321744.14,80433.34,20.0,Nov,2023
162,2022-04-02,Sul,66614.92,40144.24,26470.68,39.74,Mar,2023
163,2024-08-09,Norte,38690.39,16818.69,21871.7,56.53,Mai,2024
164,2025-08-20,Sul,394220.79,128087.01,266133.78,67.51,Jul,2022
165,2023-02-02,Norte,248620.49,166986.11,81634.38,32.83,Jul,2023
166,2023-07-16,Centro-Oeste,252419.69,104158.16,148261.53,58.74,Fev,2023
167,2025-06-13,Sudeste,287166.05,228515.05,58651.0,20.42,Nov,2023
168,2025-01-16,Sudeste,268947.97,134888.52,134059.45,49.85,Ago,2023
169,2022-03-23,Nordeste,60612.5,51065.9,9546.6,15.75,Ago,2025
170,2023-08-30,Sul,98907.98,72982.68,25925.3,26.21,Ago,2025
171,2024-03-13,Norte,389307.75,201252.4,188055.35,48.31,Mar,2022
172,2025-05-26,Centro-Oeste,496115.45,426987.61,69127.84,13.93,Jun,2023
173,2025-11-27,Sul,441539.21,160387.1,281152.11,63.68,Jun,2023
174,2023-11-16,Sudeste,40462.84,32935.94,7526.9,18.6,Jul,2025
175,2025-06-10,Sudeste,358836.75,255107.97,103728.78,28.91,Fev,2023
176,2022-09-25,Sul,134820.25,49622.74,85197.51,63.19,Mar,2022
177,2023-03-12,Sul,5282.74,2119.07,3163.67,59.89,Nov,2024
178,2025-06-23,Sudeste,313700.45,141824.96,171875.49,54.79,Jun,2024
179,2024-10-23,Centro-Oeste,145713.34,74790.96,70922.38,48.67,Jun,2024
180,2025-05-15,Sul,270826.54,225160.7,45665.84,16.86,Nov,2022
181,2023-05-08,Sul,194107.07,64090.39,130016.68,66.98,Set,2025
182,2025-05-26,Sul,258006.32,160977.46,97028.86,37.61,Out,2024
183,2023-09-16,Centro-Oeste,311163.92,248810.02,62353.9,20.04,Jan,2025
184,2025-04-02,Norte,20349.17,15730.54,4618.63,22.7,Out,2024
185,2025-10-23,Nordeste,298468.01,98220.48,200247.53,67.09,Fev,2022
186,2024-10-14,Sudeste,94475.68,28393.19,66082.49,69.95,Ago,2023
187,2024-10-27,Norte,26489.12,23134.57,3354.55,12.66,Jun,2023
188,2023-03-28,Nordeste,10974.66,9677.83,1296.83,11.82,Abr,2025
189,2022-05-05,Centro-Oeste,398966.36,230986.16,167980.2,42.1,Mar,2025
190,2025-01-12,Centro-Oeste,289557.06,148268.08,141288.98,48.79,Fev,2023
191,2025-04-19,Norte,468371.88,336149.0,132222.88,28.23,Abr,2023
192,2022-10-14,Centro-Oeste,187507.58,159895.99,27611.59,14.73,Set,2024
193,2025-11-14,Norte,385483.9,296147.29,89336.61,23.18,Mai,2022
194,2022-12-30,Nordeste,211795.92,125326.67,86469.25,40.83,Fev,2023
195,2023-10-30,Centro-Oeste,336193.54,123466.37,212727.17,63.28,Nov,2024
196,2023-12-19,Norte,155709.09,132713.22,22995.87,14.77,Mar,2024
197,2022-02-07,Norte,378482.15,272084.12,106398.03,28.11,Jul,2022
198,2023-05-21,Sudeste,440170.12,262717.44,177452.68,40.31,Ago,2025
199,2025-07-22,Centro-Oeste,116505.97,100688.33,15817.64,13.58,Fev,2024
200,2022-01-22,Sudeste,317509.0,245490.19,72018.81,22.68,Abr,2025
201,2023-05-14,Nordeste,86796.81,42061.19,44735.62,51.54,Nov,2024
202,2022-02-11,Norte,5510.55,2656.29,2854.26,51.8,Mar,2022
203,2024-05-19,Nordeste,223035.68,112735.35,110300.33,49.45,Nov,2024
204,2023-11-22,Centro-Oeste,100792.36,34431.73,66360.63,65.84,Jan,2022
205,2023-05-05,Norte,79029.84,24459.98,54569.86,69.05,Mar,2025
206,2024-07-25,Sudeste,268535.54,149012.07,119523.47,44.51,Jun,2025
207,2024-10-24,Nordeste,147436.44,123432.05,24004.39,16.28,Jul,2023
208,2022-03-13,Sul,103940.73,93460.98,10479.75,10.08,Mai,2022
209,2023-01-26,Norte,203816.68,163758.69,40057.99,19.65,Out,2022
210,2022-03-10,Norte,344210.4,200770.65,143439.75,41.67,Mai,2025
211,2022-04-27,Nordeste,57400.48,34962.57,22437.91,39.09,Ago,2023
212,2024-03-09,Sudeste,445114.29,168092.67,277021.62,62.24,Set,2023
213,2024-03-05,Centro-Oeste,45487.4,40093.04,5394.36,11.86,Mar,2024
214,2024-11-25,Nordeste,386048.78,233521.26,152527.52,39.51,Abr,2023
215,2025-07-02,Sudeste,387144.41,263038.35,124106.06,32.06,Out,2025
216,2025-10-07,Sudeste,425946.04,312434.45,113511.59,26.65,Nov,2025
217,2024-10-04,Nordeste,107270.88,41739.99,65530.89,61.09,Mai,2023
218,2023-05-21,Nordeste,302621.87,208674.58,93947.29,31.04,Mar,2024
219,2022-05-28,Sul,474141.41,405834.12,68307.29,14.41,Jul,2024
220,2025-04-20,Nordeste,202695.01,104296.13,98398.88,48.55,Ago,2024
221,2024-01-21,Sudeste,461504.98,145925.03,315579.95,68.38,Out,2024
222,2022-06-20,Sudeste,333472.67,133638.82,199833.85,59.93,Dez,2022
223,2025-07-11,Sul,100649.91,88574.75,12075.16,12.0,Nov,2022
224,2022-04-07,Nordeste,78915.6,39724.55,39191.05,49.66,Jun,2025
225,2023-07-08,Sudeste,85443.88,56370.31,29073.57,34.03,Jul,2022
226,2023-09-01,Nordeste,150564.43,72005.39,78559.04,52.18,Mai,2022
227,2024-05-02,Centro-Oeste,145022.33,103800.59,41221.74,28.42,Jul,2023
228,2022-04-23,Centro-Oeste,211778.63,174191.31,37587.32,17.75,Jul,2024
229,2022-02-25,Sudeste,123891.74,102483.15,21408.59,17.28,Mar,2024
230,2024-03-03,Norte,232054.89,124390.84,107664.05,46.4,Jun,2023
231,2025-12-11,Sudeste,36813.81,15854.54,20959.27,56.93,Set,2023
232,2024-02-17,Sul,231640.65,135890.68,95749.97,41.34,Abr,2025
233,2023-01-15,Centro-Oeste,236730.06,139412.07,97317.99,41.11,Dez,2023
234,2024-11-10,Centro-Oeste,447388.85,179548.14,267840.71,59.87,Dez,2022
235,2024-10-03,Sudeste,88905.61,55413.69,33491.92,37.67,Fev,2023
236,2024-05-23,Norte,377279.2,227424.11,149855.09,39.72,Mar,2024
237,2025-02-07,Sudeste,417432.2,271302.99,146129.21,35.01,Ago,2024
238,2024-10-31,Norte,329702.06,263324.9,66377.16,20.13,Out,2024
239,2025-12-18,Sul,346819.27,111783.49,235035.78,67.77,Fev,2023
240,2022-07-04,Norte,423597.9,215268.99,208328.91,49.18,Mai,2022
241,2023-01-20,Nordeste,279954.77,163303.48,116651.29,41.67,Jun,2025
242,2022-05-27,Norte,252152.9,115908.31,136244.59,54.03,Jul,2023
243,2024-03-03,Centro-Oeste,138675.64,47779.14,90896.5,65.55,Jul,2023
244,2025-01-01,Sudeste,314835.28,237377.94,77457.34,24.6,Jun,2022
245,2023-06-23,Norte,465026.33,146654.72,318371.61,68.46,Jun,2023
246,2024-10-23,Sudeste,251660.27,185611.41,66048.86,26.25,Mai,2025
247,2024-05-10,Sul,383361.68,116792.01,266569.67,69.53,Jul,2023
248,2022-11-06,Nordeste,459766.43,382049.88,77716.55,16.9,Abr,2025
249,2024-03-30,Centro-Oeste,63626.82,56969.98,6656.84,10.46,Abr,2022
250,2025-04-29,Centro-Oeste,105001.74,61251.14,43750.6,41.67,Jul,2023
251,2023-04-08,Centro-Oeste,468677.26,232772.36,235904.9,50.33,Nov,2022
252,2023-09-30,Centro-Oeste,82178.36,73064.27,9114.09,11.09,Set,2025
253,2025-05-20,Centro-Oeste,110309.41,69582.21,40727.2,36.92,Mar,2024
254,2022-03-22,Norte,408677.77,134379.46,274298.31,67.12,Mai,2024
255,2022-02-14,Sudeste,394675.93,295206.88,99469.05,25.2,Nov,2025
256,2025-02-13,Sul,382292.7,117596.92,264695.78,69.24,Jan,2024
257,2023-03-09,Sul,284815.1,195039.22,89775.88,31.52,Nov,2022
258,2024-11-13,Nordeste,169104.67,104155.1,64949.57,38.41,Mar,2023
259,2022-04-25,Nordeste,473502.61,376871.6,96631.01,20.41,Fev,2022
260,2024-04-04,Norte,206442.15,154705.41,51736.74,25.06,Mar,2023
261,2023-06-11,Sul,262806.46,213217.22,49589.24,18.87,Set,2025
262,2025-09-07,Sul,456072.11,379978.36,76093.75,16.68,Nov,2022
263,2022-08-15,Centro-Oeste,413484.31,243681.39,169802.92,41.07,Mai,2023
264,2022-05-22,Centro-Oeste,483148.16,377772.99,105375.17,21.81,Abr,2023
265,2025-08-02,Centro-Oeste,112057.0,59021.69,53035.31,47.33,Mai,2023
266,2023-04-14,Norte,142087.55,102382.07,39705.48,27.94,Abr,2024
267,2024-08-11,Sul,321840.43,179628.96,142211.47,44.19,Dez,2024
268,2024-06-08,Norte,406323.62,317252.5,89071.12,21.92,Fev,2024
269,2025-08-14,Norte,466799.51,251777.33,215022.18,46.06,Jul,2022
270,2025-10-07,Norte,298530.87,158141.84,140389.03,47.03,Jun,2025
271,2024-05-05,Norte,256184.39,207405.46,48778.93,19.04,Dez,2022
272,2025-10-16,Sul,236033.11,147976.16,88056.95,37.31,Jul,2022
273,2025-07-10,Sudeste,433086.22,203792.9,229293.32,52.94,Abr,2022
274,2022-02-28,Nordeste,226784.57,193349.38,33435.19,14.74,Ago,2025
275,2024-10-13,Nordeste,365620.82,263217.72,102403.1,28.01,Jan,2022
276,2024-05-25,Sul,412068.64,345562.54,66506.1,16.14,Out,2024
277,2022-11-09,Norte,198238.64,103832.2,94406.44,47.62,Ago,2024
278,2023-10-06,Sul,437501.44,302505.2,134996.24,30.86,Out,2024
279,2025-02-25,Centro-Oeste,98469.76,62212.09,36257.67,36.82,Mai,2023
280,2024-03-13,Sul,344612.77,108046.63,236566.14,68.65,Mai,2022
281,2025-03-24,Centro-Oeste,412817.94,216447.43,196370.51,47.57,Jun,2025
282,2023-12-03,Sudeste,99305.67,81312.57,17993.1,18.12,Dez,2025
283,2024-08-18,Nordeste,289479.52,190296.34,99183.18,34.26,Set,2022
284,2023-01-21,Norte,172541.35,95697.22,76844.13,44.54,Mar,2023
285,2024-04-04,Nordeste,428482.81,329897.05,98585.76,23.01,Out,2022
286,2025-06-22,Centro-Oeste,197751.63,134277.47,63474.16,32.1,Out,2025
287,2025-03-29,Sudeste,103865.19,79220.78,24644.41,23.73,Jul,2025
288,2025-04-09,Sudeste,340213.84,180323.41,159890.43,47.0,Mai,2025
289,2022-06-14,Sudeste,55574.51,43023.76,12550.75,22.58,Jun,2023
290,2022-08-09,Sul,133837.4,86802.63,47034.77,35.14,Nov,2025
291,2022-08-21,Norte,386336.03,310189.53,76146.5,19.71,Ago,2024
292,2023-08-03,Centro-Oeste,210166.8,90559.06,119607.74,56.91,Jan,2025
293,2025-04-19,Norte,25881.71,9595.45,16286.26,62.93,Jul,2023
294,2024-05-09,Sudeste,217218.12,119293.76,97924.36,45.08,Mar,2025
295,2023-05-05,Nordeste,394292.87,237600.39,156692.48,39.74,Mar,2023
296,2024-10-04,Nordeste,190261.16,80820.08,109441.08,57.52,Fev,2025
297,2023-02-01,Sudeste,398537.39,161245.25,237292.14,59.54,Out,2022
298,2022-04-02,Sudeste,377432.81,314230.21,63202.6,16.75,Ago,2025
299,2024-01-29,Sudeste,79817.94,45911.22,33906.72,42.48,Out,2022
300,2024-08-17,Norte,319550.31,234747.23,84803.08,26.54,Fev,2023
301,2023-03-09,Sul,309707.98,268876.71,40831.27,13.18,Dez,2024
302,2024-02-22,Centro-Oeste,343190.33,163222.71,179967.62,52.44,Jul,2022
303,2022-03-28,Norte,244247.54,89029.96,155217.58,63.55,Jul,2025
304,2023-11-11,Nordeste,174281.1,69627.65,104653.45,60.05,Jan,2022
305,2025-11-24,Sul,130914.83,68690.45,62224.38,47.53,Jul,2024
306,2022-09-16,Norte,309660.99,120774.55,188886.44,61.0,Jan,2025
307,2025-10-22,Sul,463498.55,235400.43,228098.12,49.21,Ago,2025
308,2023-07-12,Nordeste,153589.78,56706.09,96883.69,63.08,Nov,2022
309,2022-01-06,Nordeste,42403.52,29469.27,12934.25,30.5,Mai,2023
310,2025-01-30,Sudeste,1636.45,862.64,773.81,47.29,Mar,2022
311,2024-05-28,Sudeste,462277.38,146295.66,315981.72,68.35,Set,2025
312,2025-09-17,Sul,321367.56,101717.65,219649.91,68.35,Fev,2025
313,2022-06-15,Sudeste,305688.64,117688.67,187999.97,61.5,Ago,2022
314,2024-03-08,Centro-Oeste,74272.14,24096.27,50175.87,67.56,Set,2023
315,2024-01-18,Sul,489930.58,263752.35,226178.23,46.17,Out,2022
316,2022-07-16,Sudeste,374126.5,263613.24,110513.26,29.54,Nov,2025
317,2022-07-28,Nordeste,179624.7,141872.3,37752.4,21.02,Jul,2025
318,2022-11-10,Norte,351547.4,140708.32,210839.08,59.97,Set,2025
319,2022-10-13,Norte,431957.53,307084.82,124872.71,28.91,Abr,2022
320,2025-03-15,Sudeste,354840.9,183844.46,170996.44,48.19,Abr,2024
321,2023-08-27,Sul,242948.15,101189.58,141758.57,58.35,Set,2022
322,2025-10-08,Sul,347832.22,187104.49,160727.73,46.21,Mar,2024
323,2024-08-17,Sul,348429.33,167661.82,180767.51,51.88,Dez,2024
324,2023-08-07,Norte,462810.22,225134.41,237675.81,51.35,Nov,2025
325,2024-02-29,Norte,411526.56,216451.77,195074.79,47.4,Out,2025
326,2023-04-28,Sul,93727.51,40631.87,53095.64,56.65,Mar,2024
327,2025-04-17,Sudeste,5935.05,5045.92,889.13,14.98,Jul,2022
328,2022-07-29,Sudeste,20888.79,8702.08,12186.71,58.34,Jun,2022
329,2024-02-15,Sudeste,486822.89,280275.8,206547.09,42.43,Nov,2022
330,2022-06-05,Norte,436458.73,217876.55,218582.18,50.08,Out,2023
331,2025-10-23,Norte,422657.04,262509.88,160147.16,37.89,Out,2022
332,2022-06-29,Sudeste,136022.99,91953.41,44069.58,32.4,Nov,2025
333,2022-06-18,Sul,418974.92,276769.4,142205.52,33.94,Abr,2022
334,2022-03-09,Norte,136263.68,104617.61,31646.07,23.22,Set,2024
335,2022-11-24,Sudeste,293270.44,223795.33,69475.11,23.69,Abr,2022
336,2024-03-17,Centro-Oeste,40025.5,25212.71,14812.79,37.01,Jul,2025
337,2022-08-09,Nordeste,461416.49,189854.55,271561.94,58.85,Set,2025
338,2025-12-03,Nordeste,462008.13,340286.92,121721.21,26.35,Set,2024
339,2025-10-17,Sul,63304.96,22635.42,40669.54,64.24,Jun,2023
340,2022-12-31,Centro-Oeste,80645.48,36996.46,43649.02,54.12,Mai,2024
341,2024-06-03,Norte,14661.28,10928.32,3732.96,25.46,Jun,2023
342,2025-04-25,Sudeste,347018.95,132063.71,214955.24,61.94,Jul,2024
