id,data_venda,produto,regiao,quantidade,preco_unitario,valor_total,canal,codigo_pedido
102,2024-04-08,Roteador WiFi 6,Nordeste,11,3360.92,36970.12,Televendas,VND-00102
103,2024-12-29,Notebook Pro,Sudeste,5,4904.57,24522.85,Online,VND-00103
104,2022-10-05,Mesa Digitalizadora,Sudeste,3,3231.61,9694.83,Loja Física,VND-00104
105,2023-11-02,Mouse Wireless,Sudeste,2,1337.77,2675.54,Marketplace,VND-00105
106,2024-02-16,Headset Gamer,Sudeste,11,3818.09,41998.99,Marketplace,VND-00106
107,2025-01-09,Notebook Pro,Centro-Oeste,3,2378.02,7134.06,Loja Física,VND-00107
108,2025-08-27,Notebook Pro,Norte,3,3917.1,11751.3,Loja Física,VND-00108
109,2025-06-26,Teclado Mecânico,Nordeste,7,4204.18,29429.26,Loja Física,VND-00109
110,2025-03-01,Mouse Wireless,Sudeste,16,3363.82,53821.12,Marketplace,VND-00110
111,2025-05-28,Roteador WiFi 6,Norte,12,880.56,10566.72,Loja Física,VND-00111
112,2022-02-22,Hub USB-C,Centro-Oeste,10,585.09,5850.9,Televendas,VND-00112
113,2023-02-11,"Monitor 27""",Sul,13,4710.28,61233.64,Loja Física,VND-00113
114,2023-09-10,Mesa Digitalizadora,Sul,4,3501.11,14004.44,Online,VND-00114
115,2023-12-13,Impressora Laser,Sudeste,19,3924.04,74556.76,Marketplace,VND-00115
116,2023-11-30,Notebook Pro,Sudeste,3,2554.51,7663.53,Televendas,VND-00116
117,2024-01-12,Smartphone,Sudeste,4,2195.94,8783.76,Loja Física,VND-00117
118,2024-12-04,Smartphone,Centro-Oeste,14,921.88,12906.32,Televendas,VND-00118
119,2025-04-28,Headset Gamer,Centro-Oeste,15,2206.09,33091.35,Loja Física,VND-00119
120,2024-07-12,Mouse Wireless,Sudeste,3,1430.69,4292.07,Televendas,VND-00120
121,2023-10-28,Teclado Mecânico,Sudeste,11,192.06,2112.66,Loja Física,VND-00121
122,2023-11-29,Headset Gamer,Sul,12,3999.27,47991.24,Marketplace,VND-00122
123,2023-01-27,"Monitor 27""",Nordeste,18,100.25,1804.5,Televendas,VND-00123
124,2023-05-08,Roteador WiFi 6,Sudeste,16,2798.12,44769.92,Televendas,VND-00124
125,2022-07-10,Headset Gamer,Nordeste,15,3975.02,59625.3,Televendas,VND-00125
126,2025-04-06,Webcam HD,Sudeste,8,1565.72,12525.76,Marketplace,VND-00126
127,2025-02-01,Webcam HD,Centro-Oeste,14,4983.33,69766.62,Televendas,VND-00127
128,2023-04-18,"Monitor 27""",Nordeste,9,1567.78,14110.02,Marketplace,VND-00128
129,2025-11-14,Teclado Mecânico,Nordeste,4,3727.26,14909.04,Loja Física,VND-00129
130,2025-04-22,Cadeira Ergonômica,Sul,16,1418.67,22698.72,Marketplace,VND-00130
131,2023-08-30,Mouse Wireless,Centro-Oeste,4,4171.51,16686.04,Loja Física,VND-00131
132,2024-12-29,Teclado Mecânico,Centro-Oeste,10,120.03,1200.3,Online,VND-00132
133,2025-11-29,Teclado Mecânico,Sudeste,2,2789.13,5578.26,Online,VND-00133
134,2024-08-19,Memória RAM 16GB,Sudeste,1,2891.62,2891.62,Marketplace,VND-00134
135,2023-06-02,Mesa Digitalizadora,Sudeste,6,4829.21,28975.26,Online,VND-00135
136,2022-06-01,"Tablet 10""",Norte,3,2033.5,6100.5,Loja Física,VND-00136
137,2023-09-15,"Monitor 27""",Nordeste,5,4065.15,20325.75,Online,VND-00137
138,2025-05-26,"Tablet 10""",Sul,18,3834.0,69012.0,Loja Física,VND-00138
139,2024-06-25,Headset Gamer,Sul,17,1932.87,32858.79,Televendas,VND-00139
140,2022-05-04,"Tablet 10""",Norte,10,2864.72,28647.2,Loja Física,VND-00140
141,2022-06-16,Teclado Mecânico,Nordeste,7,1360.0,9520.0,Loja Física,VND-00141
142,2022-01-06,SSD 1TB,Sudeste,18,421.57,7588.26,Televendas,VND-00142
143,2023-08-14,Roteador WiFi 6,Centro-Oeste,10,211.57,2115.7,Televendas,VND-00143
144,2023-06-26,Cadeira Ergonômica,Sul,3,3452.56,10357.68,Loja Física,VND-00144
145,2023-04-06,Smartphone,Nordeste,14,618.14,8653.96,Marketplace,VND-00145
146,2022-12-06,Cadeira Ergonômica,Centro-Oeste,5,403.48,2017.4,Marketplace,VND-00146
147,2025-11-11,Headset Gamer,Sudeste,15,665.55,9983.25,Marketplace,VND-00147
148,2024-06-15,"Monitor 27""",Sul,17,2722.91,46289.47,Online,VND-00148
149,2025-05-21,Headset Gamer,Norte,14,3685.94,51603.16,Online,VND-00149
150,2025-03-24,"Tablet 10""",Norte,8,4811.46,38491.68,Marketplace,VND-00150
151,2022-12-25,Memória RAM 16GB,Sul,19,249.15,4733.85,Televendas,VND-00151
152,2025-04-13,SSD 1TB,Sudeste,9,948.37,8535.33,Online,VND-00152
153,2023-11-14,Webcam HD,Norte,16,1772.41,28358.56,Loja Física,VND-00153
154,2024-10-11,Headset Gamer,Sudeste,11,2087.64,22964.04,Online,VND-00154
155,2023-06-01,Webcam HD,Norte,15,485.9,7288.5,Televendas,VND-00155
156,2022-01-03,Smartphone,Sul,17,4133.39,70267.63,Televendas,VND-00156
157,2024-11-27,Webcam HD,Sul,14,318.31,4456.34,Televendas,VND-00157
158,2023-02-21,Headset Gamer,Sul,15,3811.95,57179.25,Loja Física,VND-00158
159,2025-12-01,Memória RAM 16GB,Norte,10,2218.67,22186.7,Online,VND-00159
160,2025-12-24,Teclado Mecânico,Centro-Oeste,20,4006.6,80132.0,Online,VND-00160
161,2023-04-06,Mesa Digitalizadora,Norte,18,2069.55,37251.9,Televendas,VND-00161
162,2022-11-12,Memória RAM 16GB,Centro-Oeste,4,3256.16,13024.64,Marketplace,VND-00162
163,2024-08-25,Mouse Wireless,Sudeste,14,4181.88,58546.32,Loja Física,VND-00163
164,2025-05-12,Impressora Laser,Nordeste,13,993.52,12915.76,Online,VND-00164
165,2024-04-29,Webcam HD,Sul,9,3874.74,34872.66,Marketplace,VND-00165
166,2023-09-04,Mesa Digitalizadora,Sul,1,1450.05,1450.05,Televendas,VND-00166
167,2024-09-18,Webcam HD,Centro-Oeste,5,2260.41,11302.05,Televendas,VND-00167
168,2023-01-22,Roteador WiFi 6,Nordeste,15,4667.62,70014.3,Televendas,VND-00168
169,2024-04-21,Notebook Pro,Centro-Oeste,8,4287.26,34298.08,Televendas,VND-00169
170,2025-09-21,Cadeira Ergonômica,Nordeste,13,1961.09,25494.17,Televendas,VND-00170
171,2025-04-23,Webcam HD,Norte,2,674.92,1349.84,Televendas,VND-00171
172,2024-07-24,Notebook Pro,Nordeste,4,2653.46,10613.84,Televendas,VND-00172
173,2023-06-27,Webcam HD,Sul,5,420.4,2102.0,Televendas,VND-00173
174,2025-10-13,Mesa Digitalizadora,Sul,3,4266.24,12798.72,Televendas,VND-00174
175,2024-09-26,Mesa Digitalizadora,Sul,11,3152.66,34679.26,Online,VND-00175
176,2025-07-16,Smartphone,Centro-Oeste,20,388.68,7773.6,Loja Física,VND-00176
177,2022-07-21,Cadeira Ergonômica,Norte,3,2198.16,6594.48,Televendas,VND-00177
178,2022-03-01,Notebook Pro,Centro-Oeste,6,3485.31,20911.86,Online,VND-00178
179,2024-06-01,Teclado Mecânico,Nordeste,10,1824.39,18243.9,Televendas,VND-00179
180,2023-01-04,Teclado Mecânico,Nordeste,19,3424.91,65073.29,Online,VND-00180
181,2025-06-23,Smartphone,Nordeste,20,4360.66,87213.2,Televendas,VND-00181
182,2024-08-02,Smartphone,Centro-Oeste,19,758.43,14410.17,Televendas,VND-00182
183,2024-08-10,Hub USB-C,Centro-Oeste,9,3350.86,30157.74,Loja Física,VND-00183
184,2023-12-09,"Tablet 10""",Centro-Oeste,3,2236.56,6709.68,Televendas,VND-00184
185,2023-09-11,Mouse Wireless,Sudeste,9,2311.34,20802.06,Televendas,VND-00185
186,2025-03-17,Webcam HD,Sul,4,1224.17,4896.68,Marketplace,VND-00186
187,2025-09-10,SSD 1TB,Centro-Oeste,10,158.6,1586.0,Online,VND-00187
188,2022-04-11,Hub USB-C,Sul,19,4332.08,82309.52,Televendas,VND-00188
189,2023-04-17,"Tablet 10""",Centro-Oeste,10,3889.92,38899.2,Loja Física,VND-00189
190,2025-10-20,Cadeira Ergonômica,Nordeste,7,3123.41,21863.87,Online,VND-00190
191,2024-06-21,Notebook Pro,Sul,2,1579.22,3158.44,Marketplace,VND-00191
192,2023-08-28,Webcam HD,Sudeste,5,496.16,2480.8,Loja Física,VND-00192
193,2025-01-09,Hub USB-C,Centro-Oeste,7,704.19,4929.33,Marketplace,VND-00193
194,2024-09-13,Cadeira Ergonômica,Centro-Oeste,6,1322.0,7932.0,Marketplace,VND-00194
195,2022-06-04,Teclado Mecânico,Nordeste,4,2368.24,9472.96,Televendas,VND-00195
196,2024-03-19,Notebook Pro,Centro-Oeste,18,1860.59,33490.62,Online,VND-00196
197,2025-10-08,Headset Gamer,Sul,15,1874.5,28117.5,Televendas,VND-00197
198,2023-04-24,Memória RAM 16GB,Norte,12,586.31,7035.72,Marketplace,VND-00198
199,2022-05-10,Smartphone,Sudeste,20,1145.77,22915.4,Marketplace,VND-00199
200,2022-04-03,Notebook Pro,Centro-Oeste,14,627.55,8785.7,Televendas,VND-00200
201,2025-01-05,Teclado Mecânico,Sudeste,4,531.1,2124.4,Televendas,VND-00201
202,2025-11-27,Impressora Laser,Sudeste,12,3368.91,40426.92,Loja Física,VND-00202
203,2024-09-29,"Tablet 10""",Sudeste,14,3291.86,46086.04,Marketplace,VND-00203
204,2023-03-21,Memória RAM 16GB,Sudeste,2,3466.89,6933.78,Loja Física,VND-00204
205,2025-11-05,Webcam HD,Sul,12,541.81,6501.72,Marketplace,VND-00205
206,2023-01-24,"Monitor 27""",Sudeste,2,2020.79,4041.58,Online,VND-00206
207,2025-05-07,Notebook Pro,Norte,7,3226.44,22585.08,Marketplace,VND-00207
208,2025-03-02,Mouse Wireless,Norte,8,4944.66,39557.28,Loja Física,VND-00208
209,2023-04-23,Webcam HD,Nordeste,19,1118.96,21260.24,Online,VND-00209
210,2022-10-24,Teclado Mecânico,Sul,9,4299.11,38691.99,Marketplace,VND-00210
211,2022-02-22,Teclado Mecânico,Norte,6,594.14,3564.84,Marketplace,VND-00211
212,2022-02-02,Teclado Mecânico,Centro-Oeste,8,2964.82,23718.56,Online,VND-00212
213,2024-12-13,"Monitor 27""",Norte,5,3721.5,18607.5,Televendas,VND-00213
214,2024-11-17,"Tablet 10""",Norte,15,3901.18,58517.7,Televendas,VND-00214
215,2025-06-13,Notebook Pro,Sul,17,1146.67,19493.39,Marketplace,VND-00215
216,2022-03-05,Notebook Pro,Sudeste,15,3234.54,48518.1,Televendas,VND-00216
217,2024-10-01,Roteador WiFi 6,Sudeste,14,3446.18,48246.52,Online,VND-00217
218,2022-10-31,"Monitor 27""",Nordeste,3,1644.45,4933.35,Marketplace,VND-00218
219,2025-01-28,Roteador WiFi 6,Centro-Oeste,20,3183.73,63674.6,Televendas,VND-00219
220,2024-07-18,Impressora Laser,Sul,20,2676.26,53525.2,Televendas,VND-00220
221,2022-08-23,Mesa Digitalizadora,Sul,4,3975.83,15903.32,Loja Física,VND-00221
222,2023-04-13,SSD 1TB,Centro-Oeste,14,2285.2,31992.8,Televendas,VND-00222
223,2022-07-14,Webcam HD,Sudeste,13,2109.15,27418.95,Marketplace,VND-00223
224,2022-11-09,Smartphone,Sudeste,9,1902.79,17125.11,Online,VND-00224
225,2022-07-10,SSD 1TB,Norte,3,4167.27,12501.81,Marketplace,VND-00225
226,2025-04-16,Impressora Laser,Sul,5,2804.04,14020.2,Marketplace,VND-00226
227,2025-09-24,Cadeira Ergonômica,Sudeste,4,2083.5,8334.0,Online,VND-00227
228,2023-12-22,"Monitor 27""",Sul,10,3022.03,30220.3,Loja Física,VND-00228
229,2023-04-05,Mesa Digitalizadora,Norte,5,3300.84,16504.2,Marketplace,VND-00229
230,2023-07-25,"Tablet 10""",Nordeste,18,1869.43,33649.74,Televendas,VND-00230
231,2025-06-27,"Tablet 10""",Sul,18,4874.01,87732.18,Online,VND-00231
232,2025-11-21,Headset Gamer,Norte,20,4648.97,92979.4,Loja Física,VND-00232
233,2023-09-25,Hub USB-C,Centro-Oeste,9,3528.36,31755.24,Marketplace,VND-00233
234,2022-10-21,"Tablet 10""",Sudeste,1,947.96,947.96,Online,VND-00234
235,2022-03-04,"Monitor 27""",Sul,5,3717.8,18589.0,Loja Física,VND-00235
236,2023-11-30,Teclado Mecânico,Centro-Oeste,13,2128.17,27666.21,Marketplace,VND-00236
237,2025-03-08,"Tablet 10""",Norte,11,3895.34,42848.74,Online,VND-00237
238,2025-06-19,Notebook Pro,Norte,5,829.18,4145.9,Marketplace,VND-00238
239,2024-09-21,"Tablet 10""",Sudeste,15,3326.6,49899.0,Televendas,VND-00239
240,2024-11-15,"Monitor 27""",Centro-Oeste,9,1117.07,10053.63,Televendas,VND-00240
241,2025-10-21,"Tablet 10""",Sudeste,4,1452.07,5808.28,Marketplace,VND-00241
242,2025-05-12,Notebook Pro,Norte,2,1141.57,2283.14,Loja Física,VND-00242
243,2022-10-09,Cadeira Ergonômica,Centro-Oeste,10,4729.35,47293.5,Marketplace,VND-00243
244,2024-10-15,Roteador WiFi 6,Sudeste,11,643.92,7083.12,Loja Física,VND-00244
245,2025-12-12,Mouse Wireless,Sul,5,1932.03,9660.15,Marketplace,VND-00245
246,2022-03-28,SSD 1TB,Norte,3,2015.5,6046.5,Televendas,VND-00246
247,2025-03-25,SSD 1TB,Sul,3,4317.44,12952.32,Televendas,VND-00247
248,2024-04-09,Notebook Pro,Centro-Oeste,14,1483.1,20763.4,Loja Física,VND-00248
249,2025-11-13,Hub USB-C,Centro-Oeste,20,2327.48,46549.6,Online,VND-00249
250,2023-05-14,SSD 1TB,Sul,14,4230.2,59222.8,Televendas,VND-00250
251,2023-09-28,Roteador WiFi 6,Centro-Oeste,17,439.3,7468.1,Loja Física,VND-00251
252,2022-06-06,Impressora Laser,Norte,11,3906.63,42972.93,Loja Física,VND-00252
253,2025-08-14,Mesa Digitalizadora,Nordeste,12,1787.94,21455.28,Loja Física,VND-00253
254,2023-02-09,Teclado Mecânico,Sul,4,774.9,3099.6,Loja Física,VND-00254
255,2025-07-10,Memória RAM 16GB,Sudeste,3,926.87,2780.61,Televendas,VND-00255
256,2025-07-03,Webcam HD,Centro-Oeste,19,3232.81,61423.39,Loja Física,VND-00256
257,2024-06-24,Smartphone,Centro-Oeste,15,388.02,5820.3,Marketplace,VND-00257
258,2024-11-05,"Monitor 27""",Centro-Oeste,19,328.05,6232.95,Televendas,VND-00258
259,2024-01-26,Mesa Digitalizadora,Centro-Oeste,15,236.16,3542.4,Online,VND-00259
260,2024-11-04,SSD 1TB,Sudeste,3,3094.29,9282.87,Online,VND-00260
261,2025-03-16,Smartphone,Nordeste,15,4549.8,68247.0,Marketplace,VND-00261
262,2022-11-05,Notebook Pro,Sudeste,20,2404.36,48087.2,Online,VND-00262
263,2022-06-22,Impressora Laser,Nordeste,11,4912.81,54040.91,Online,VND-00263
264,2024-06-18,Impressora Laser,Sul,8,3552.73,28421.84,Loja Física,VND-00264
265,2023-08-03,SSD 1TB,Sudeste,12,1895.62,22747.44,Marketplace,VND-00265
266,2025-07-16,Smartphone,Centro-Oeste,20,309.21,6184.2,Online,VND-00266
267,2025-10-21,SSD 1TB,Centro-Oeste,11,517.8,5695.8,Marketplace,VND-00267
268,2023-11-14,"Monitor 27""",Sul,20,4372.73,87454.6,Loja Física,VND-00268
269,2025-09-05,Roteador WiFi 6,Sudeste,12,1585.65,19027.8,Loja Física,VND-00269
270,2022-06-23,Headset Gamer,Sul,20,3558.73,71174.6,Televendas,VND-00270
271,2025-10-04,Roteador WiFi 6,Sul,11,4075.26,44827.86,Online,VND-00271
272,2022-02-07,Webcam HD,Centro-Oeste,14,2567.02,35938.28,Loja Física,VND-00272
273,2024-09-22,Mouse Wireless,Nordeste,7,1741.58,12191.06,Loja Física,VND-00273
274,2022-07-27,Impressora Laser,Sul,5,431.97,2159.85,Online,VND-00274
275,2025-06-19,Teclado Mecânico,Sul,11,4388.14,48269.54,Televendas,VND-00275
276,2025-11-19,Cadeira Ergonômica,Sul,5,853.12,4265.6,Loja Física,VND-00276
277,2024-01-17,Smartphone,Nordeste,15,266.28,3994.2,Televendas,VND-00277
278,2024-07-08,Mouse Wireless,Sul,20,1460.39,29207.8,Loja Física,VND-00278
279,2024-08-18,Hub USB-C,Nordeste,10,4829.7,48297.0,Marketplace,VND-00279
280,2024-08-03,Cadeira Ergonômica,Centro-Oeste,19,4922.98,93536.62,Televendas,VND-00280
281,2022-11-28,Mesa Digitalizadora,Nordeste,17,2660.93,45235.81,Loja Física,VND-00281
282,2024-09-11,Mesa Digitalizadora,Centro-Oeste,9,308.29,2774.61,Online,VND-00282
283,2023-08-07,"Monitor 27""",Nordeste,17,4263.27,72475.59,Marketplace,VND-00283
284,2022-10-29,Mesa Digitalizadora,Sudeste,15,4531.27,67969.05,Online,VND-00284
285,2023-12-17,Hub USB-C,Norte,8,4092.68,32741.44,Televendas,VND-00285
286,2024-02-05,Mouse Wireless,Sudeste,2,2012.45,4024.9,Online,VND-00286
287,2023-10-15,Hub USB-C,Norte,12,1161.47,13937.64,Marketplace,VND-00287
288,2023-08-11,Hub USB-C,Sudeste,5,731.12,3655.6,Loja Física,VND-00288
289,2022-01-11,Hub USB-C,Norte,16,2270.58,36329.28,Online,VND-00289
290,2022-11-03,Impressora Laser,Sul,9,1117.49,10057.41,Televendas,VND-00290
291,2023-05-02,Headset Gamer,Norte,4,3892.05,15568.2,Online,VND-00291
292,2025-06-29,Memória RAM 16GB,Norte,8,2128.14,17025.12,Online,VND-00292
293,2022-02-03,Smartphone,Sul,16,3003.86,48061.76,Loja Física,VND-00293
294,2022-01-04,"Tablet 10""",Centro-Oeste,5,1491.8,7459.0,Loja Física,VND-00294
295,2025-09-22,Smartphone,Norte,19,2112.01,40128.19,Marketplace,VND-00295
296,2025-01-19,Impressora Laser,Sul,3,4769.35,14308.05,Online,VND-00296
297,2022-03-31,Smartphone,Sudeste,13,4372.99,56848.87,Marketplace,VND-00297
298,2024-01-02,Cadeira Ergonômica,Norte,9,3749.22,33742.98,Marketplace,VND-00298
