id,nome,cargo,departamento,regiao,salario,data_admissao,status,idade
36,Funcionário 0036,Diretor,Contabilidade,Centro-Oeste,14166.87,2018-05-03,Ativo,31
37,Funcionário 0037,Coordenador,TI,Sul,16689.62,2015-07-25,Ativo,55
38,Funcionário 0038,Coordenador,RH,Sul,2738.37,2023-02-18,Ativo,64
39,Funcionário 0039,Analista,Marketing,Norte,7204.47,2015-02-24,Ativo,21
40,Funcionário 0040,Coordenador,TI,Centro-Oeste,10982.2,2020-03-25,Férias,49
41,Funcionário 0041,Analista,Logística,Sul,6659.66,2016-02-29,Férias,36
42,Funcionário 0042,Analista,Contabilidade,Sul,23553.51,2023-01-24,Ativo,38
43,Funcionário 0043,Gerente,Vendas,Norte,14915.93,2020-10-27,Desligado,44
44,Funcionário 0044,Diretor,Marketing,Sudeste,22068.13,2017-09-23,Ativo,65
45,Funcionário 0045,Gerente,Contabilidade,Nordeste,15232.21,2024-03-02,Ativo,64
46,Funcionário 0046,Analista,RH,Norte,11853.27,2017-02-19,Férias,22
47,Funcionário 0047,Gerente,Marketing,Nordeste,18481.1,2020-09-12,Ativo,34
48,Funcionário 0048,Estagiário,Vendas,Sudeste,4766.78,2017-07-11,Ativo,59
49,Funcionário 0049,Diretor,Vendas,Nordeste,19845.2,2020-05-13,Férias,31
50,Funcionário 0050,Assistente,Financeiro,Nordeste,8195.33,2024-05-28,Férias,31
51,Funcionário 0051,Estagiário,Logística,Nordeste,22563.5,2018-09-24,Ativo,62
52,Funcionário 0052,Coordenador,Financeiro,Sudeste,21148.89,2017-12-08,Desligado,20
53,Funcionário 0053,Diretor,Financeiro,Norte,13147.4,2024-12-04,Desligado,44
54,Funcionário 0054,Gerente,Marketing,Sul,24829.76,2016-11-10,Ativo,35
55,Funcionário 0055,Gerente,Logística,Norte,8535.1,2020-01-30,Férias,37
56,Funcionário 0056,Gerente,Contabilidade,Sul,5826.92,2017-09-12,Ativo,48
57,Funcionário 0057,Gerente,RH,Sul,7515.19,2024-01-14,Férias,44
58,Funcionário 0058,Analista,Logística,Centro-Oeste,3707.24,2021-12-26,Ativo,52
59,Funcionário 0059,Diretor,TI,Sudeste,21166.09,2021-09-11,Ativo,53
60,Funcionário 0060,Analista,Vendas,Norte,12555.32,2023-04-29,Desligado,47
61,Funcionário 0061,Assistente,Marketing,Sul,5589.01,2015-08-12,Ativo,18
62,Funcionário 0062,Analista,Contabilidade,Sudeste,13950.45,2018-04-12,Férias,19
63,Funcionário 0063,Coordenador,RH,Sul,23463.79,2022-08-18,Ativo,44
64,Funcionário 0064,Diretor,RH,Sudeste,13902.86,2015-06-04,Ativo,40
65,Funcionário 0065,Assistente,TI,Centro-Oeste,20829.51,2017-09-27,Desligado,31
66,Funcionário 0066,Assistente,RH,Norte,19272.33,2022-04-26,Desligado,45
67,Funcionário 0067,Diretor,Financeiro,Centro-Oeste,23312.12,2024-03-13,Ativo,37
68,Funcionário 0068,Gerente,Logística,Nordeste,8893.87,2022-12-15,Ativo,49
69,Funcionário 0069,Analista,Financeiro,Sul,13435.57,2015-07-14,Ativo,52
70,Funcionário 0070,Estagiário,Financeiro,Nordeste,23880.39,2021-05-09,Desligado,20
71,Funcionário 0071,Assistente,Contabilidade,Sul,15305.59,2023-05-01,Desligado,60
72,Funcionário 0072,Gerente,Vendas,Sudeste,23676.38,2020-02-19,Ativo,46
73,Funcionário 0073,Diretor,RH,Nordeste,18392.24,2015-04-15,Ativo,63
74,Funcionário 0074,Analista,TI,Centro-Oeste,9807.48,2021-01-04,Ativo,49
75,Funcionário 0075,Gerente,RH,Sul,14659.72,2019-10-24,Ativo,21
76,Funcionário 0076,Gerente,Vendas,Centro-Oeste,23792.24,2015-10-19,Desligado,50
77,Funcionário 0077,Assistente,RH,Norte,12010.71,2024-01-15,Ativo,40
78,Funcionário 0078,Diretor,RH,Sul,2404.26,2017-12-10,Ativo,55
79,Funcionário 0079,Gerente,Logística,Norte,15161.6,2023-04-03,Desligado,24
80,Funcionário 0080,Gerente,RH,Sul,14252.38,2022-05-23,Ativo,39
81,Funcionário 0081,Coordenador,Financeiro,Centro-Oeste,24310.83,2016-09-24,Desligado,48
82,Funcionário 0082,Analista,Marketing,Sul,15161.73,2020-01-11,Ativo,18
83,Funcionário 0083,Estagiário,Financeiro,Sudeste,19093.01,2020-06-20,Desligado,25
84,Funcionário 0084,Estagiário,RH,Norte,3111.23,2017-09-29,Ativo,41
85,Funcionário 0085,Gerente,TI,Norte,12090.65,2015-02-08,Ativo,24
86,Funcionário 0086,Assistente,RH,Sudeste,11495.75,2016-10-01,Ativo,64
87,Funcionário 0087,Coordenador,RH,Nordeste,20441.08,2017-03-17,Desligado,25
88,Funcionário 0088,Analista,Marketing,Nordeste,11247.54,2022-01-29,Ativo,31
89,Funcionário 0089,Gerente,Vendas,Sul,5389.99,2016-09-17,Desligado,62
90,Funcionário 0090,Analista,Financeiro,Centro-Oeste,19840.67,2018-09-16,Ativo,32
91,Funcionário 0091,Gerente,Vendas,Centro-Oeste,14553.36,2020-01-15,Desligado,57
92,Funcionário 0092,Gerente,TI,Sul,23060.6,2020-03-16,Ativo,39
93,Funcionário 0093,Analista,RH,Sul,23442.4,2024-06-24,Ativo,51
94,Funcionário 0094,Coordenador,Contabilidade,Nordeste,10531.13,2017-04-07,Ativo,57
95,Funcionário 0095,Coordenador,TI,Centro-Oeste,9999.04,2018-01-08,Desligado,46
96,Funcionário 0096,Assistente,Financeiro,Norte,14452.99,2020-11-18,Férias,37
97,Funcionário 0097,Diretor,Financeiro,Centro-Oeste,19906.21,2015-08-31,Desligado,18
98,Funcionário 0098,Analista,Marketing,Nordeste,17574.37,2018-07-21,Férias,61
99,Funcionário 0099,Analista,TI,Sul,16526.92,2016-09-19,Ativo,29
100,Funcionário 0100,Analista,TI,Norte,16706.77,2024-11-17,Ativo,18
101,Funcionário 0101,Coordenador,Contabilidade,Centro-Oeste,13935.3,2022-08-20,Desligado,44
102,Funcionário 0102,Estagiário,TI,Centro-Oeste,16859.18,2015-11-18,Férias,31
103,Funcionário 0103,Gerente,Financeiro,Sul,10257.31,2020-11-18,Ativo,23
104,Funcionário 0104,Estagiário,Financeiro,Centro-Oeste,8486.99,2020-05-16,Ativo,40
105,Funcionário 0105,Diretor,RH,Centro-Oeste,9923.09,2020-08-04,Férias,48
106,Funcionário 0106,Diretor,Contabilidade,Nordeste,19672.81,2018-05-27,Ativo,49
107,Funcionário 0107,Assistente,Financeiro,Nordeste,12563.63,2017-03-28,Ativo,23
108,Funcionário 0108,Gerente,Financeiro,Centro-Oeste,15202.34,2017-10-17,Ativo,59
109,Funcionário 0109,Gerente,Vendas,Sudeste,18406.48,2024-04-25,Ativo,49
110,Funcionário 0110,Estagiário,Financeiro,Norte,8225.05,2017-05-20,Ativo,34
111,Funcionário 0111,Coordenador,RH,Sudeste,24608.17,2021-05-15,Ativo,44
112,Funcionário 0112,Estagiário,Vendas,Sul,3947.56,2023-08-20,Ativo,61
113,Funcionário 0113,Diretor,Logística,Sul,17194.26,2024-11-22,Ativo,20
114,Funcionário 0114,Gerente,TI,Centro-Oeste,12163.74,2019-12-13,Ativo,47
115,Funcionário 0115,Assistente,Logística,Sudeste,18644.39,2018-06-02,Ativo,34
116,Funcionário 0116,Diretor,Marketing,Centro-Oeste,21593.74,2015-05-07,Ativo,61
117,Funcionário 0117,Estagiário,Logística,Norte,20989.96,2022-09-15,Ativo,56
118,Funcionário 0118,Assistente,Contabilidade,Nordeste,10209.59,2015-10-22,Desligado,41
119,Funcionário 0119,Estagiário,TI,Sul,13104.61,2023-02-19,Férias,38
120,Funcionário 0120,Diretor,Marketing,Centro-Oeste,20766.27,2023-11-07,Férias,52
121,Funcionário 0121,Assistente,RH,Centro-Oeste,9505.18,2023-02-27,Ativo,30
122,Funcionário 0122,Diretor,Vendas,Norte,16086.71,2023-05-03,Ativo,50
123,Funcionário 0123,Estagiário,Contabilidade,Sudeste,15032.72,2017-12-07,Desligado,40
124,Funcionário 0124,Estagiário,Marketing,Nordeste,24858.13,2015-07-01,Desligado,64
125,Funcionário 0125,Gerente,Logística,Sul,24458.63,2022-08-31,Ativo,32
126,Funcionário 0126,Assistente,Logística,Centro-Oeste,23449.79,2016-03-20,Desligado,18
127,Funcionário 0127,Diretor,TI,Sul,8468.61,2019-11-08,Férias,32
128,Funcionário 0128,Gerente,Logística,Sudeste,2101.13,2016-12-19,Férias,29
129,Funcionário 0129,Estagiário,Vendas,Centro-Oeste,7186.79,2015-12-21,Ativo,23
130,Funcionário 0130,Gerente,Logística,Norte,7549.96,2015-12-08,Férias,35
131,Funcionário 0131,Estagiário,Financeiro,Norte,15948.08,2017-04-17,Férias,34
132,Funcionário 0132,Gerente,Logística,Centro-Oeste,3777.24,2016-04-28,Desligado,55
133,Funcionário 0133,Analista,RH,Norte,23558.25,2022-08-15,Férias,35
134,Funcionário 0134,Estagiário,Contabilidade,Sudeste,14708.41,2017-04-06,Desligado,48
135,Funcionário 0135,Diretor,Marketing,Norte,16655.41,2020-01-20,Desligado,31
136,Funcionário 0136,Estagiário,Marketing,Nordeste,23591.03,2019-01-25,Ativo,61
137,Funcionário 0137,Gerente,Logística,Sudeste,12580.22,2015-02-13,Ativo,42
138,Funcionário 0138,Analista,Logística,Sudeste,9565.66,2017-07-10,Férias,47
139,Funcionário 0139,Estagiário,TI,Centro-Oeste,16594.8,2023-12-30,Férias,52
140,Funcionário 0140,Coordenador,RH,Nordeste,16772.18,2015-01-09,Férias,18
141,Funcionário 0141,Assistente,Contabilidade,Sul,20811.25,2022-12-27,Desligado,23
142,Funcionário 0142,Analista,RH,Nordeste,16116.97,2020-09-01,Ativo,55
143,Funcionário 0143,Gerente,Marketing,Nordeste,11706.87,2016-11-29,Ativo,50
144,Funcionário 0144,Assistente,RH,Sudeste,13142.55,2015-03-02,Ativo,26
145,Funcionário 0145,Estagiário,Marketing,Centro-Oeste,3539.08,2023-12-31,Férias,37
146,Funcionário 0146,Diretor,Contabilidade,Norte,4367.05,2022-05-19,Férias,42
147,Funcionário 0147,Estagiário,Marketing,Centro-Oeste,16255.6,2021-05-17,Ativo,50
148,Funcionário 0148,Estagiário,TI,Sudeste,6784.53,2018-01-29,Ativo,31
149,Funcionário 0149,Analista,Logística,Centro-Oeste,15426.92,2022-09-15,Ativo,34
150,Funcionário 0150,Coordenador,Vendas,Sul,17993.3,2021-07-14,Férias,34
151,Funcionário 0151,Gerente,Financeiro,Sudeste,6849.64,2016-09-23,Desligado,45
152,Funcionário 0152,Estagiário,Financeiro,Norte,4235.73,2024-02-11,Ativo,57
153,Funcionário 0153,Assistente,Vendas,Sul,10986.5,2021-08-18,Ativo,22
154,Funcionário 0154,Estagiário,Vendas,Nordeste,12005.4,2023-01-10,Ativo,22
155,Funcionário 0155,Diretor,Marketing,Sudeste,24321.38,2020-04-28,Ativo,50
156,Funcionário 0156,Estagiário,Financeiro,Sul,23560.65,2023-01-04,Ativo,38
157,Funcionário 0157,Analista,Financeiro,Nordeste,12029.82,2016-05-25,Férias,61
158,Funcionário 0158,Diretor,Vendas,Sudeste,22718.21,2021-09-23,Ativo,31
159,Funcionário 0159,Assistente,Vendas,Nordeste,7135.82,2015-09-26,Ativo,37
160,Funcionário 0160,Estagiário,Financeiro,Sudeste,21650.89,2024-05-22,Férias,49
161,Funcionário 0161,Coordenador,Contabilidade,Sudeste,18825.67,2021-06-15,Desligado,53
162,Funcionário 0162,Analista,Contabilidade,Norte,24754.12,2022-06-17,Desligado,37
163,Funcionário 0163,Coordenador,RH,Centro-Oeste,18314.88,2021-04-18,Ativo,25
164,Funcionário 0164,Assistente,Financeiro,Sul,10477.31,2024-03-11,Desligado,24
165,Funcionário 0165,Coordenador,Vendas,Norte,6833.69,2016-11-21,Ativo,54
166,Funcionário 0166,Coordenador,Logística,Nordeste,10307.11,2021-07-17,Desligado,19
167,Funcionário 0167,Gerente,Vendas,Sudeste,6313.72,2016-03-17,Ativo,35
168,Funcionário 0168,Assistente,Logística,Norte,7116.43,2018-11-11,Ativo,38
169,Funcionário 0169,Assistente,Marketing,Nordeste,23928.62,2020-01-11,Férias,51
170,Funcionário 0170,Coordenador,Contabilidade,Centro-Oeste,20006.06,2015-09-10,Ativo,62
171,Funcionário 0171,Diretor,Marketing,Norte,11411.52,2018-03-18,Férias,59
172,Funcionário 0172,Coordenador,RH,Nordeste,18963.98,2022-11-16,Desligado,29
173,Funcionário 0173,Diretor,Financeiro,Sul,7280.29,2015-06-08,Desligado,42
174,Funcionário 0174,Estagiário,TI,Centro-Oeste,11004.41,2016-10-11,Férias,24
175,Funcionário 0175,Diretor,Financeiro,Sudeste,20921.82,2018-03-25,Férias,42
176,Funcionário 0176,Estagiário,Contabilidade,Norte,5883.93,2024-10-27,Ativo,39
177,Funcionário 0177,Diretor,TI,Sul,11440.94,2017-12-17,Ativo,42
178,Funcionário 0178,Assistente,RH,Centro-Oeste,16080.84,2023-12-23,Ativo,21
179,Funcionário 0179,Diretor,RH,Sudeste,3150.28,2024-09-20,Ativo,44
180,Funcionário 0180,Diretor,RH,Sul,5068.93,2020-06-15,Férias,25
181,Funcionário 0181,Estagiário,RH,Nordeste,16716.6,2021-05-19,Férias,53
182,Funcionário 0182,Estagiário,Logística,Sul,16089.91,2023-12-04,Ativo,54
183,Funcionário 0183,Coordenador,RH,Norte,22658.96,2015-01-14,Desligado,46
184,Funcionário 0184,Diretor,Logística,Sudeste,21825.22,2022-05-19,Desligado,27
185,Funcionário 0185,Gerente,Financeiro,Centro-Oeste,22373.4,2020-09-26,Desligado,42
186,Funcionário 0186,Coordenador,Vendas,Sudeste,14656.79,2017-07-24,Ativo,48
187,Funcionário 0187,Gerente,Logística,Norte,22078.38,2023-02-04,Ativo,60
188,Funcionário 0188,Coordenador,TI,Sudeste,7377.72,2019-12-27,Férias,29
189,Funcionário 0189,Diretor,TI,Norte,22891.03,2020-11-02,Ativo,41
190,Funcionário 0190,Assistente,Marketing,Norte,20234.67,2023-08-30,Férias,19
191,Funcionário 0191,Assistente,Financeiro,Norte,18697.2,2015-10-10,Ativo,41
192,Funcionário 0192,Diretor,Contabilidade,Centro-Oeste,2193.32,2021-04-04,Ativo,36
193,Funcionário 0193,Assistente,Marketing,Sudeste,11080.83,2018-09-08,Ativo,38
194,Funcionário 0194,Diretor,Logística,Sudeste,23054.79,2019-11-22,Férias,34
195,Funcionário 0195,Gerente,Contabilidade,Centro-Oeste,18013.78,2020-02-18,Ativo,56
196,Funcionário 0196,Assistente,TI,Sudeste,16285.97,2024-04-02,Desligado,53
197,Funcionário 0197,Gerente,Logística,Norte,19339.65,2020-03-07,Ativo,60
198,Funcionário 0198,Assistente,RH,Norte,24466.64,2023-07-01,Desligado,62
199,Funcionário 0199,Estagiário,TI,Norte,2702.92,2021-08-24,Ativo,43
200,Funcionário 0200,Estagiário,Contabilidade,Sul,19955.77,2018-05-04,Ativo,63
201,Funcionário 0201,Coordenador,Logística,Nordeste,9627.74,2024-02-06,Ativo,49
202,Funcionário 0202,Assistente,Marketing,Norte,21256.81,2018-10-27,Ativo,59
203,Funcionário 0203,Diretor,Contabilidade,Norte,23626.39,2023-06-18,Férias,41
204,Funcionário 0204,Coordenador,Contabilidade,Norte,15098.4,2022-05-28,Ativo,44
205,Funcionário 0205,Coordenador,Logística,Sul,18962.21,2019-06-12,Ativo,24
206,Funcionário 0206,Diretor,Financeiro,Centro-Oeste,16684.79,2015-08-04,Ativo,56
207,Funcionário 0207,Coordenador,Vendas,Sudeste,24232.88,2022-10-06,Ativo,46
208,Funcionário 0208,Gerente,Contabilidade,Norte,18017.56,2018-03-08,Ativo,24
209,Funcionário 0209,Gerente,Marketing,Sudeste,21460.79,2020-11-05,Ativo,45
210,Funcionário 0210,Assistente,Logística,Sudeste,24216.0,2022-08-24,Ativo,40
211,Funcionário 0211,Assistente,Financeiro,Nordeste,5386.92,2015-06-01,Férias,42
212,Funcionário 0212,Gerente,Vendas,Norte,11971.25,2020-01-01,Ativo,18
213,Funcionário 0213,Analista,Contabilidade,Sul,17422.7,2023-11-02,Desligado,54
214,Funcionário 0214,Diretor,Logística,Centro-Oeste,22894.21,2020-01-19,Desligado,43
215,Funcionário 0215,Assistente,Contabilidade,Norte,5734.57,2020-12-07,Ativo,58
216,Funcionário 0216,Diretor,TI,Nordeste,11404.63,2015-01-28,Desligado,64
217,Funcionário 0217,Assistente,Financeiro,Sul,11412.6,2022-07-07,Férias,21
218,Funcionário 0218,Gerente,TI,Sul,23452.73,2022-06-18,Desligado,55
219,Funcionário 0219,Diretor,Marketing,Sudeste,24048.1,2024-11-12,Ativo,45
220,Funcionário 0220,Assistente,Marketing,Norte,4686.53,2019-03-31,Desligado,50
221,Funcionário 0221,Diretor,Vendas,Norte,16413.99,2018-06-15,Ativo,58
222,Funcionário 0222,Assistente,Contabilidade,Norte,12402.08,2023-12-18,Ativo,51
223,Funcionário 0223,Analista,TI,Sul,4165.06,2022-10-18,Desligado,29
224,Funcionário 0224,Gerente,Vendas,Centro-Oeste,23872.32,2019-12-31,Ativo,60
225,Funcionário 0225,Diretor,RH,Norte,22891.32,2019-12-24,Desligado,61
226,Funcionário 0226,Assistente,Logística,Centro-Oeste,5927.02,2018-05-13,Desligado,61
227,Funcionário 0227,Estagiário,Marketing,Sul,3091.7,2020-05-16,Ativo,35
228,Funcionário 0228,Diretor,TI,Sudeste,2268.66,2021-11-28,Desligado,39
229,Funcionário 0229,Estagiário,Vendas,Sul,12463.64,2024-10-26,Ativo,43
230,Funcionário 0230,Coordenador,TI,Centro-Oeste,6598.22,2017-01-04,Ativo,53
231,Funcionário 0231,Gerente,Contabilidade,Sul,16805.09,2015-07-24,Ativo,55
232,Funcionário 0232,Gerente,TI,Sudeste,14749.5,2023-05-16,Ativo,52
233,Funcionário 0233,Diretor,Financeiro,Nordeste,3903.97,2023-04-25,Férias,57
234,Funcionário 0234,Diretor,Contabilidade,Centro-Oeste,23707.82,2015-10-16,Ativo,21
235,Funcionário 0235,Assistente,Vendas,Centro-Oeste,3659.58,2018-01-17,Desligado,28
236,Funcionário 0236,Diretor,Logística,Nordeste,3425.34,2024-07-17,Ativo,19
237,Funcionário 0237,Estagiário,Financeiro,Norte,13708.18,2023-04-09,Desligado,57
238,Funcionário 0238,Gerente,Vendas,Sudeste,21851.51,2020-07-13,Desligado,54
239,Funcionário 0239,Gerente,TI,Sul,18178.89,2024-10-02,Férias,40
240,Funcionário 0240,Gerente,Marketing,Centro-Oeste,5504.92,2018-03-27,Ativo,42
241,Funcionário 0241,Assistente,Financeiro,Sudeste,8303.25,2019-11-21,Desligado,56
242,Funcionário 0242,Assistente,Contabilidade,Sul,12809.42,2024-11-14,Ativo,31
243,Funcionário 0243,Coordenador,Logística,Sul,5393.09,2018-05-08,Desligado,25
244,Funcionário 0244,Analista,TI,Norte,15299.99,2016-02-10,Ativo,62
245,Funcionário 0245,Estagiário,Logística,Sudeste,16831.32,2021-09-09,Ativo,61
246,Funcionário 0246,Analista,RH,Sul,10125.35,2021-05-29,Ativo,29
247,Funcionário 0247,Assistente,RH,Sul,23184.2,2021-09-02,Ativo,45
248,Funcionário 0248,Assistente,Marketing,Centro-Oeste,19494.59,2016-11-20,Ativo,42
249,Funcionário 0249,Diretor,Logística,Centro-Oeste,11683.45,2017-03-27,Férias,62
250,Funcionário 0250,Analista,Marketing,Sudeste,12419.73,2022-10-18,Desligado,55
251,Funcionário 0251,Diretor,Logística,Norte,15114.31,2017-03-09,Desligado,48
252,Funcionário 0252,Diretor,Vendas,Norte,5226.23,2020-03-23,Desligado,51
253,Funcionário 0253,Assistente,Vendas,Norte,23389.62,2023-12-28,Ativo,37
254,Funcionário 0254,Diretor,Contabilidade,Sul,14869.85,2018-06-30,Férias,42
255,Funcionário 0255,Coordenador,Contabilidade,Nordeste,15801.39,2018-09-13,Férias,29
256,Funcionário 0256,Gerente,Marketing,Sul,10708.02,2024-04-19,Ativo,57
257,Funcionário 0257,Estagiário,Vendas,Nordeste,5113.79,2020-12-02,Ativo,32
258,Funcionário 0258,Analista,RH,Sul,15468.0,2021-03-18,Ativo,27
259,Funcionário 0259,Coordenador,Marketing,Nordeste,9867.81,2017-10-17,Ativo,53
260,Funcionário 0260,Diretor,Contabilidade,Norte,20864.0,2016-08-23,Ativo,37
261,Funcionário 0261,Diretor,Financeiro,Sul,15364.99,2020-07-29,Ativo,45
262,Funcionário 0262,Diretor,Marketing,Centro-Oeste,13797.97,2024-03-24,Ativo,40
263,Funcionário 0263,Assistente,Marketing,Nordeste,17835.27,2015-02-09,Ativo,36
264,Funcionário 0264,Gerente,Vendas,Centro-Oeste,7612.1,2019-09-11,Ativo,41
265,Funcionário 0265,Analista,Vendas,Sul,5655.38,2018-03-26,Desligado,20
266,Funcionário 0266,Coordenador,Contabilidade,Nordeste,24045.32,2016-02-24,Desligado,41
267,Funcionário 0267,Coordenador,Contabilidade,Sudeste,8769.53,2021-01-04,Ativo,58
268,Funcionário 0268,Coordenador,Marketing,Sul,11771.66,2018-05-15,Ativo,52
269,Funcionário 0269,Estagiário,Vendas,Sul,22558.8,2023-09-19,Ativo,29
270,Funcionário 0270,Assistente,Marketing,Sudeste,4042.16,2022-10-22,Desligado,39
271,Funcionário 0271,Diretor,Financeiro,Sudeste,12969.88,2015-04-10,Ativo,36
272,Funcionário 0272,Analista,TI,Centro-Oeste,8477.04,2017-03-05,Ativo,21
273,Funcionário 0273,Gerente,RH,Sul,9304.25,2015-01-20,Ativo,48
274,Funcionário 0274,Analista,Financeiro,Sul,5775.06,2020-11-04,Férias,53
275,Funcionário 0275,Analista,Logística,Centro-Oeste,9154.99,2024-03-11,Ativo,41
276,Funcionário 0276,Estagiário,Contabilidade,Nordeste,11235.9,2021-03-30,Férias,64
277,Funcionário 0277,Diretor,Marketing,Sul,23674.1,2018-09-21,Ativo,54
278,Funcionário 0278,Diretor,Contabilidade,Centro-Oeste,13727.23,2018-09-28,Ativo,27
279,Funcionário 0279,Assistente,Vendas,Sul,5656.28,2016-11-29,Ativo,49
280,Funcionário 0280,Estagiário,Logística,Norte,19223.07,2022-09-24,Desligado,23
281,Funcionário 0281,Diretor,Contabilidade,Centro-Oeste,12752.54,2022-06-28,Ativo,26
282,Funcionário 0282,Assistente,Vendas,Sul,10623.42,2018-06-25,Ativo,39
283,Funcionário 0283,Coordenador,Contabilidade,Nordeste,15127.81,2020-01-05,Ativo,24
284,Funcionário 0284,Analista,Logística,Norte,22683.21,2024-04-26,Ativo,24
285,Funcionário 0285,Gerente,Contabilidade,Norte,7688.6,2016-03-22,Férias,48
286,Funcionário 0286,Gerente,Logística,Sul,6635.96,2020-07-24,Férias,29
287,Funcionário 0287,Estagiário,Vendas,Norte,21530.39,2016-12-18,Ativo,39
288,Funcionário 0288,Gerente,Vendas,Nordeste,8181.49,2020-12-16,Desligado,56
289,Funcionário 0289,Estagiário,Marketing,Sudeste,7388.11,2018-09-20,Desligado,35
290,Funcionário 0290,Diretor,Marketing,Norte,20991.28,2016-05-28,Férias,59
291,Funcionário 0291,Analista,Financeiro,Nordeste,19903.53,2023-05-03,Ativo,56
292,Funcionário 0292,Coordenador,Financeiro,Centro-Oeste,20264.12,2016-02-17,Ativo,53
293,Funcionário 0293,Estagiário,Logística,Centro-Oeste,16334.47,2016-09-04,Ativo,21
294,Funcionário 0294,Estagiário,Logística,Norte,7951.88,2022-10-19,Ativo,28
295,Funcionário 0295,Assistente,Financeiro,Nordeste,8893.51,2020-05-18,Ativo,20
296,Funcionário 0296,Assistente,RH,Sudeste,15333.54,2018-01-20,Ativo,28
297,Funcionário 0297,Gerente,Financeiro,Sul,7903.94,2021-01-07,Ativo,56
298,Funcionário 0298,Analista,TI,Nordeste,22483.48,2021-07-04,Ativo,55
299,Funcionário 0299,Gerente,Contabilidade,Nordeste,12343.84,2019-10-21,Desligado,35
300,Funcionário 0300,Analista,Contabilidade,Norte,4649.04,2020-01-26,Ativo,31
301,Funcionário 0301,Estagiário,Financeiro,Sudeste,20673.45,2015-03-08,Ativo,51
302,Funcionário 0302,Analista,TI,Nordeste,2139.21,2024-07-07,Ativo,49
303,Funcionário 0303,Diretor,TI,Sul,4433.5,2015-08-17,Ativo,44
304,Funcionário 0304,Analista,Vendas,Centro-Oeste,20611.63,2020-01-14,Desligado,27
305,Funcionário 0305,Assistente,TI,Nordeste,4444.94,2022-11-29,Ativo,65
306,Funcionário 0306,Diretor,Contabilidade,Norte,13884.17,2020-05-24,Ativo,50
